timeperiod,pax,flights
2001M01,53287,761
2001M02,53612,727
2001M03,61508,802
2001M04,64376,773
2001M05,65161,819
2001M06,69258,796
2001M07,73284,827
2001M08,71901,806
2001M09,79021,803
2001M10,72313,838
2001M11,59859,656
2001M12,53221,608
2002M01,49910,668
2002M02,50432,632
2002M03,56261,653
2002M04,61793,735
2002M05,63503,750
2002M06,62652,690
2002M07,70688,768
2002M08,60673,696
2002M09,70644,745
2002M10,66070,769
2002M11,57545,717
2002M12,54187,689
2003M01,52740,695
2003M02,57552,673
2003M03,60482,752
2003M04,61035,687
2003M05,61670,734
2003M06,62714,655
2003M07,76629,762
2003M08,65604,695
2003M09,77134,797
2003M10,71108,803
2003M11,62943,783
2003M12,60368,751
2004M01,53614,768
2004M02,61993,738
2004M03,68142,811
2004M04,64523,796
2004M05,76159,870
2004M06,80154,833
2004M07,81911,881
2004M08,74172,870
2004M09,79285,869
2004M10,73559,835
2004M11,65620,823
2004M12,61807,788
2005M01,66897,1003
2005M02,76990,1040
2005M03,94920,1191
2005M04,99197,1241
2005M05,108457,1208
2005M06,109123,1170
2005M07,124169,1254
2005M08,114773,1115
2005M09,116090,1179
2005M10,106971,1178
2005M11,98397,1110
2005M12,90854,1059
2006M01,83958,1123
2006M02,82552,1076
2006M03,100559,1189
2006M04,103396,1135
2006M05,112833,1230
2006M06,112438,1174
2006M07,114536,1156
2006M08,109006,1157
2006M09,116612,1150
2006M10,112720,1250
2006M11,108011,1285
2006M12,98085,1180
2007M01,90767,1216
2007M02,95655,1110
2007M03,117677,1337
2007M04,117259,1267
2007M05,125834,1294
2007M06,137326,1300
2007M07,150037,1343
2007M08,129501,1188
2007M09,137833,1287
2007M10,132476,1313
2007M11,122974,1237
2007M12,106057,1128
2008M01,103376,1233
2008M02,112292,1170
2008M03,126516,1262
2008M04,124379,1285
2008M05,134068,1314
2008M06,141159,1298
2008M07,144213,1296
2008M08,128015,1156
2008M09,129522,1254
2008M10,115187,1200
2008M11,87250,990
2008M12,83295,934
2009M01,71663,977
2009M02,87369,1004
2009M03,101372,1121
2009M04,102476,1035
2009M05,102667,1093
2009M06,112018,1089
2009M07,122915,1152
2009M08,107241,958
2009M09,113919,1107
2009M10,102509,1098
2009M11,91901,1006
2009M12,89426,951
2010M01,73827,929
2010M02,82931,936
2010M03,100266,1067
2010M04,94943,1015
2010M05,98428,1022
2010M06,116648,1271
2010M07,127465,1274
2010M08,120340,1187
2010M09,117843,1235
2010M10,112709,1284
2010M11,108657,1244
2010M12,90012,1071
2011M01,82877,1035
2011M02,86336,1057
2011M03,108249,1207
2011M04,108007,1131
2011M05,108377,1148
2011M06,114389,1131
2011M07,117148,1036
2011M08,110815,1002
2011M09,118659,1107
2011M10,104413,1096
2011M11,93146,922
2011M12,73918,718
2012M01,61341,575
2012M02,61984,568
2012M03,79852,673
2012M04,101218,887
2012M05,112081,973
2012M06,121550,985
2012M07,130092,1070
2012M08,121507,1000
2012M09,117751,973
2012M10,106559,974
2012M11,83619,800
2012M12,85883,782
2013M01,78771,797
2013M02,76001,709
2013M03,89481,784
2013M04,78759,630
2013M05,78464,634
2013M06,84677,679
2013M07,89881,709
2013M08,84278,657
2013M09,85615,694
2013M10,77749,705
2013M11,71640,774
2013M12,73506,797
2014M01,58830,704
2014M02,60513,647
2014M03,74759,773
2014M04,82985,842
2014M05,84810,880
2014M06,92841,922
2014M07,100914,986
2014M08,95939,904
2014M09,89483,765
2014M10,74982,636
2014M11,67099,548
2014M12,70221,588
2015M01,59432,509
2015M02,61482,502
2015M03,82329,617
2015M04,86365,676
2015M05,87883,713
2015M06,99993,758
2015M07,113396,881
2015M08,111524,913
2015M09,103939,791
2015M10,87188,676
2015M11,70656,565
2015M12,80523,721
2016M01,68372,628
2016M02,69346,562
2016M03,94191,737
2016M04,98544,781
2016M05,104779,844
2016M06,107015,821
2016M07,120212,908
2016M08,118358,938
2016M09,109769,827
2016M10,99297,771
2016M11,93327,722
2016M12,94369,770
2017M01,81535,713
2017M02,80787,687
2017M03,106448,858
2017M04,113251,924
2017M05,111743,931
2017M06,123782,973
2017M07,134792,1047
2017M08,131388,1033
2017M09,120278,941
2017M10,106711,875
2017M11,104969,813
2017M12,102213,825
2018M01,88853,719
2018M02,86681,662
2018M03,104170,809
2018M04,113711,871
2018M05,116557,922
2018M06,125636,939
2018M07,134174,1007
2018M08,125393,939
2018M09,121199,914
2018M10,112039,881
2018M11,96080,681
2018M12,85988,642
