timeperiod,pax,flights
2001M01,159697,2785
2001M02,166629,2601
2001M03,192191,2934
2001M04,209860,2903
2001M05,210890,3038
2001M06,201654,2873
2001M07,212393,2908
2001M08,198687,2709
2001M09,207150,2802
2001M10,201547,2867
2001M11,173523,2394
2001M12,152962,2241
2002M01,147046,2534
2002M02,157787,2381
2002M03,183945,2553
2002M04,199025,2772
2002M05,195628,2776
2002M06,200194,2603
2002M07,223030,2859
2002M08,200929,2512
2002M09,216031,2704
2002M10,211654,2739
2002M11,179521,2537
2002M12,172403,2648
2003M01,157576,2482
2003M02,170631,2365
2003M03,187001,2587
2003M04,210731,2683
2003M05,203440,2760
2003M06,225621,2884
2003M07,251321,2961
2003M08,230315,2498
2003M09,236131,2845
2003M10,228548,3017
2003M11,204261,2821
2003M12,191562,2608
2004M01,184705,2877
2004M02,224281,2901
2004M03,240273,3251
2004M04,259268,3303
2004M05,267806,3522
2004M06,287120,3512
2004M07,289496,3421
2004M08,275991,3061
2004M09,283070,3429
2004M10,274340,3523
2004M11,226321,2999
2004M12,221903,2912
2005M01,207101,3034
2005M02,228601,3119
2005M03,270931,3439
2005M04,282653,3744
2005M05,310741,4071
2005M06,318420,4078
2005M07,399944,4027
2005M08,379940,3679
2005M09,382978,4056
2005M10,364798,4109
2005M11,313296,3706
2005M12,293155,3647
2006M01,232458,3690
2006M02,240427,3522
2006M03,288274,3906
2006M04,312189,3868
2006M05,320238,4110
2006M06,324162,4004
2006M07,331205,3790
2006M08,309394,3549
2006M09,323359,3896
2006M10,325375,4022
2006M11,278037,3702
2006M12,267200,3523
2007M01,246098,3647
2007M02,257216,3456
2007M03,315460,3916
2007M04,334347,4025
2007M05,351397,4469
2007M06,368528,4243
2007M07,390874,4262
2007M08,351340,3788
2007M09,363283,4102
2007M10,359285,4246
2007M11,320302,3850
2007M12,296796,3736
2008M01,254882,3534
2008M02,288855,3652
2008M03,344286,3875
2008M04,328139,3988
2008M05,340617,3876
2008M06,361176,4029
2008M07,367870,3932
2008M08,330455,3436
2008M09,316733,3765
2008M10,304467,3929
2008M11,265554,3282
2008M12,235849,3085
2009M01,198849,2680
2009M02,229225,2895
2009M03,266954,3209
2009M04,284763,3079
2009M05,279238,3188
2009M06,311250,3301
2009M07,346622,3389
2009M08,325393,3074
2009M09,298736,3210
2009M10,279178,3219
2009M11,260771,3231
2009M12,252032,2990
2010M01,217585,2924
2010M02,249715,2960
2010M03,300710,3451
2010M04,295974,3391
2010M05,304778,3393
2010M06,341573,3590
2010M07,368913,3610
2010M08,333098,3134
2010M09,327890,3329
2010M10,315822,3366
2010M11,275322,3145
2010M12,233480,2635
2011M01,226604,2902
2011M02,245384,3044
2011M03,307097,3581
2011M04,317356,3450
2011M05,322567,3642
2011M06,350023,3673
2011M07,389054,3707
2011M08,354519,3295
2011M09,352523,3703
2011M10,318372,3561
2011M11,287955,3210
2011M12,262092,2803
2012M01,225201,2826
2012M02,242737,2809
2012M03,314508,3332
2012M04,308674,3057
2012M05,335889,3529
2012M06,361119,3545
2012M07,400097,3635
2012M08,347200,3267
2012M09,348692,3560
2012M10,327277,3682
2012M11,267550,2905
2012M12,241957,2600
2013M01,225535,2651
2013M02,234736,2576
2013M03,282706,2825
2013M04,289100,2923
2013M05,294269,3014
2013M06,311635,2977
2013M07,344015,3112
2013M08,303829,2692
2013M09,306920,2881
2013M10,300948,2888
2013M11,263731,2575
2013M12,247723,2418
2014M01,216606,2228
2014M02,224118,2223
2014M03,283978,2642
2014M04,312881,2780
2014M05,306917,2875
2014M06,337926,3000
2014M07,370350,3185
2014M08,351536,2936
2014M09,342723,2983
2014M10,320729,2882
2014M11,271718,2465
2014M12,249032,2290
2015M01,220024,2330
2015M02,244746,2392
2015M03,305229,2857
2015M04,343694,3179
2015M05,333886,3201
2015M06,362258,3355
2015M07,403645,3444
2015M08,382756,3094
2015M09,372036,3213
2015M10,350940,3176
2015M11,294058,2751
2015M12,282924,2636
2016M01,246611,2392
2016M02,266078,2477
2016M03,326777,2859
2016M04,339239,3007
2016M05,371465,3151
2016M06,396602,3198
2016M07,439576,3408
2016M08,407552,3159
2016M09,393245,3172
2016M10,366154,2979
2016M11,327800,2774
2016M12,295770,2587
2017M01,267330,2518
2017M02,279613,2544
2017M03,349960,3158
2017M04,392423,3287
2017M05,409369,3518
2017M06,434770,3454
2017M07,448680,3419
2017M08,411127,3217
2017M09,422347,3428
2017M10,414752,3467
2017M11,347955,2944
2017M12,311335,2694
2018M01,277321,2591
2018M02,298077,2593
2018M03,368102,3139
2018M04,419244,3471
2018M05,435088,3522
2018M06,443718,3487
2018M07,464600,3455
2018M08,429798,3236
2018M09,444802,3477
2018M10,455184,3620
2018M11,377665,3157
2018M12,339006,2892
