timeperiod,pax,flights
2001M01,1219487,17020
2001M02,1293117,15872
2001M03,1559424,17617
2001M04,1702200,17989
2001M05,1674845,18659
2001M06,1737440,18176
2001M07,1810162,18743
2001M08,1827938,18512
2001M09,1743588,18201
2001M10,1578870,18140
2001M11,1340893,16151
2001M12,1217439,15241
2002M01,1188030,15466
2002M02,1310558,14625
2002M03,1594561,16172
2002M04,1679073,17319
2002M05,1679519,17932
2002M06,1691058,17256
2002M07,1843142,18696
2002M08,1868551,18373
2002M09,1798816,17535
2002M10,1713341,17623
2002M11,1449999,17022
2002M12,1338537,16889
2003M01,1321005,16922
2003M02,1408580,15906
2003M03,1602631,17521
2003M04,1736239,17261
2003M05,1767556,17909
2003M06,1864316,17860
2003M07,1971379,19290
2003M08,2040999,19458
2003M09,1887388,18489
2003M10,1895237,18635
2003M11,1545590,17499
2003M12,1487456,17002
2004M01,1375479,17454
2004M02,1565678,17192
2004M03,1807226,19191
2004M04,1863010,18652
2004M05,1964709,19626
2004M06,2020040,19535
2004M07,2139583,20398
2004M08,2209785,20608
2004M09,2033862,19782
2004M10,1993004,19640
2004M11,1682667,18577
2004M12,1559879,18100
2005M01,1532699,18790
2005M02,1671276,18210
2005M03,2030335,20352
2005M04,2055833,20438
2005M05,2261738,21323
2005M06,2229071,21305
2005M07,2434485,22405
2005M08,2489089,21900
2005M09,2281809,21097
2005M10,2239803,21237
2005M11,1913829,20508
2005M12,1770417,19492
2006M01,1708150,20611
2006M02,1829245,20151
2006M03,2202477,22478
2006M04,2391161,21596
2006M05,2504572,23443
2006M06,2521143,23111
2006M07,2566466,22773
2006M08,2634553,22923
2006M09,2514271,22466
2006M10,2503452,23353
2006M11,2110313,22705
2006M12,2012902,21498
2007M01,1904141,23288
2007M02,2052591,22203
2007M03,2433326,24798
2007M04,2563972,24588
2007M05,2698383,26304
2007M06,2784620,25543
2007M07,3032780,26321
2007M08,3046158,25665
2007M09,2810219,25137
2007M10,2729761,25650
2007M11,2296943,23501
2007M12,2059572,21973
2008M01,1951382,22094
2008M02,2118611,21792
2008M03,2441759,23024
2008M04,2392694,23046
2008M05,2535216,23227
2008M06,2542409,23209
2008M07,2727963,23725
2008M08,2723649,22185
2008M09,2391259,22256
2008M10,2277341,22152
2008M11,1819899,18752
2008M12,1729460,17730
2009M01,1479076,16145
2009M02,1616682,16614
2009M03,1915200,18847
2009M04,2163227,19165
2009M05,2175285,19745
2009M06,2252295,19450
2009M07,2528177,20644
2009M08,2528945,19468
2009M09,2254432,19017
2009M10,2166802,18992
2009M11,1867681,17467
2009M12,1779268,16766
2010M01,1564203,15911
2010M02,1729239,15973
2010M03,2142432,18497
2010M04,2037435,17652
2010M05,2291458,19038
2010M06,2363124,19421
2010M07,2625424,20325
2010M08,2638441,19295
2010M09,2485149,19733
2010M10,2487869,20265
2010M11,2064842,18420
2010M12,1832616,16605
2011M01,1857899,17887
2011M02,1965223,17692
2011M03,2429143,20507
2011M04,2650337,21108
2011M05,2809128,22478
2011M06,2912585,22297
2011M07,3184217,22978
2011M08,3176238,22229
2011M09,2978088,22326
2011M10,2798696,22005
2011M11,2291954,19010
2011M12,2235305,18493
2012M01,2012379,17915
2012M02,1971209,16266
2012M03,2444386,19289
2012M04,2766191,21018
2012M05,2905952,22731
2012M06,3076737,23066
2012M07,3405974,24082
2012M08,3411452,23460
2012M09,3122400,22756
2012M10,2817611,21539
2012M11,2138412,17193
2012M12,2045829,16699
2013M01,1889010,16138
2013M02,1920256,15221
2013M03,2406614,18222
2013M04,2666080,20540
2013M05,2964929,22086
2013M06,3119020,21894
2013M07,3390065,23237
2013M08,3409936,22675
2013M09,3138439,21605
2013M10,2882771,20718
2013M11,2246063,17233
2013M12,2159681,16835
2014M01,1974560,16180
2014M02,2027940,15474
2014M03,2550691,18485
2014M04,2978382,21432
2014M05,3148740,23079
2014M06,3311775,23043
2014M07,3533387,24255
2014M08,3668347,23979
2014M09,3378278,22817
2014M10,3135737,21974
2014M11,2363843,17396
2014M12,2275993,16790
2015M01,2088831,16308
2015M02,2124593,15625
2015M03,2756959,19110
2015M04,3122703,21984
2015M05,3348713,23233
2015M06,3468207,23535
2015M07,3797990,24736
2015M08,3857565,24511
2015M09,3586988,23329
2015M10,3378156,22284
2015M11,2663639,18493
2015M12,2467547,17794
2016M01,2400543,17416
2016M02,2571728,17750
2016M03,3135351,20787
2016M04,3405653,23356
2016M05,3790208,24916
2016M06,3882043,24925
2016M07,4227046,26204
2016M08,4233120,25999
2016M09,4015030,25349
2016M10,3778505,24266
2016M11,2914260,19744
2016M12,2852906,19261
2017M01,2664187,18674
2017M02,2677794,17957
2017M03,3310861,21570
2017M04,3876569,24487
2017M05,4045953,26412
2017M06,4221703,26442
2017M07,4554642,27301
2017M08,4428266,26741
2017M09,4220682,26342
2017M10,3872472,25629
2017M11,3009184,20623
2017M12,2989617,20354
2018M01,2913696,20260
2018M02,2899122,19177
2018M03,3648523,23152
2018M04,3994946,25361
2018M05,4256611,26834
2018M06,4418806,26843
2018M07,4694773,28010
2018M08,4661587,27672
2018M09,4444037,27570
2018M10,4238440,27014
2018M11,3295913,21579
2018M12,3320086,22483
