timeperiod,pax,flights
2001M01,42144,593
2001M02,41318,558
2001M03,50954,669
2001M04,49072,696
2001M05,53093,789
2001M06,58853,790
2001M07,58014,779
2001M08,57964,735
2001M09,61054,749
2001M10,59175,794
2001M11,43091,432
2001M12,41372,451
2002M01,37662,460
2002M02,37212,429
2002M03,38617,456
2002M04,40340,443
2002M05,41642,464
2002M06,41981,440
2002M07,44586,457
2002M08,40308,470
2002M09,46163,457
2002M10,45168,459
2002M11,41440,450
2002M12,39858,457
2003M01,37249,405
2003M02,41413,426
2003M03,42847,473
2003M04,41089,439
2003M05,41696,460
2003M06,44682,442
2003M07,47504,458
2003M08,40887,452
2003M09,45653,440
2003M10,46228,455
2003M11,41381,435
2003M12,41417,431
2004M01,39782,483
2004M02,45004,474
2004M03,46859,508
2004M04,41382,434
2004M05,49413,471
2004M06,49720,451
2004M07,48669,473
2004M08,41410,473
2004M09,50693,460
2004M10,47566,466
2004M11,45710,514
2004M12,41891,486
2005M01,40461,509
2005M02,46878,488
2005M03,55888,528
2005M04,73299,854
2005M05,79994,863
2005M06,80441,879
2005M07,78276,861
2005M08,68531,707
2005M09,74970,829
2005M10,75205,875
2005M11,70688,820
2005M12,64184,743
2006M01,61315,832
2006M02,70133,887
2006M03,85222,961
2006M04,79537,844
2006M05,89217,961
2006M06,86079,877
2006M07,81762,785
2006M08,77481,795
2006M09,87044,849
2006M10,90738,917
2006M11,82772,851
2006M12,76104,746
2007M01,73846,847
2007M02,77761,779
2007M03,94959,950
2007M04,105348,1010
2007M05,115291,1098
2007M06,115053,968
2007M07,121669,973
2007M08,109357,877
2007M09,114471,924
2007M10,109459,986
2007M11,98838,922
2007M12,92469,849
2008M01,85279,885
2008M02,94168,904
2008M03,104716,914
2008M04,110269,1045
2008M05,107032,965
2008M06,101914,884
2008M07,98149,847
2008M08,84578,705
2008M09,87586,824
2008M10,90274,888
2008M11,81205,801
2008M12,76595,751
2009M01,62510,694
2009M02,73403,741
2009M03,85802,843
2009M04,92586,834
2009M05,92666,831
2009M06,92564,823
2009M07,100569,829
2009M08,89396,733
2009M09,91971,815
2009M10,89307,803
2009M11,77347,763
2009M12,80493,744
2010M01,68891,691
2010M02,75184,709
2010M03,90072,809
2010M04,83150,781
2010M05,92178,791
2010M06,94506,815
2010M07,100734,847
2010M08,95765,776
2010M09,94766,800
2010M10,95386,847
2010M11,82711,811
2010M12,75198,707
2011M01,70914,712
2011M02,72584,698
2011M03,87641,817
2011M04,86661,810
2011M05,87585,818
2011M06,83698,789
2011M07,90712,784
2011M08,81783,703
2011M09,83626,752
2011M10,81116,755
2011M11,71588,668
2011M12,69426,624
2012M01,61153,582
2012M02,50447,387
2012M03,62352,510
2012M04,56019,447
2012M05,75082,608
2012M06,76878,606
2012M07,79233,617
2012M08,71955,614
2012M09,80739,652
2012M10,80748,677
2012M11,68252,570
2012M12,53037,455
2013M01,48570,442
2013M02,45745,390
2013M03,50122,399
2013M04,57372,483
2013M05,63783,509
2013M06,77915,699
2013M07,82384,760
2013M08,75532,704
2013M09,77650,698
2013M10,78631,748
2013M11,73335,715
2013M12,69915,685
2014M01,66557,737
2014M02,64265,649
2014M03,77043,754
2014M04,74058,723
2014M05,79542,749
2014M06,84177,770
2014M07,88342,769
2014M08,83127,737
2014M09,84335,702
2014M10,82937,740
2014M11,78018,695
2014M12,73520,668
2015M01,66929,673
2015M02,70357,642
2015M03,80861,698
2015M04,77302,691
2015M05,83370,721
2015M06,84981,719
2015M07,92203,772
2015M08,82295,716
2015M09,87922,726
2015M10,85419,724
2015M11,78183,696
2015M12,75686,680
2016M01,68138,645
2016M02,73256,646
2016M03,79386,700
2016M04,79243,721
2016M05,87453,739
2016M06,92421,745
2016M07,95823,759
2016M08,83828,671
2016M09,92008,735
2016M10,91510,755
2016M11,83253,709
2016M12,79109,695
2017M01,75648,734
2017M02,78773,716
2017M03,93475,831
2017M04,90401,791
2017M05,97385,838
2017M06,102985,833
2017M07,107410,846
2017M08,94683,730
2017M09,102252,829
2017M10,100017,840
2017M11,95700,796
2017M12,85261,738
2018M01,83518,739
2018M02,86540,726
2018M03,96450,805
2018M04,97680,811
2018M05,103720,834
2018M06,102168,796
2018M07,110236,846
2018M08,102971,813
2018M09,102608,814
2018M10,105872,829
2018M11,99347,746
2018M12,86224,698
