timeperiod,pax,flights
2001M01,2,1
2001M02,20,4
2001M03,1026,14
2001M04,13033,99
2001M05,57886,320
2001M06,74424,360
2001M07,75910,406
2001M08,82334,412
2001M09,72739,368
2001M10,40678,244
2001M11,6,2
2001M12,7,3
2002M01,0,0
2002M02,7,1
2002M03,544,10
2002M04,4062,36
2002M05,43839,238
2002M06,55793,269
2002M07,60082,297
2002M08,64420,313
2002M09,56099,280
2002M10,38070,207
2002M11,596,3
2002M12,0,0
2003M01,228,2
2003M02,31035,241
2003M03,53037,405
2003M04,62250,446
2003M05,126781,836
2003M06,150756,928
2003M07,175726,1073
2003M08,187699,1107
2003M09,160088,992
2003M10,136797,875
2003M11,93965,662
2003M12,94513,652
2004M01,87538,734
2004M02,165521,1189
2004M03,199569,1436
2004M04,225314,1499
2004M05,246310,1652
2004M06,268030,1648
2004M07,298850,1755
2004M08,303704,1786
2004M09,275130,1628
2004M10,260836,1621
2004M11,203832,1410
2004M12,193001,1399
2005M01,183533,1460
2005M02,203092,1404
2005M03,245310,1650
2005M04,262633,1697
2005M05,293155,1832
2005M06,305545,1808
2005M07,320177,1899
2005M08,327745,1912
2005M09,294310,1816
2005M10,289018,1787
2005M11,240723,1654
2005M12,224311,1629
2006M01,207656,1600
2006M02,217565,1559
2006M03,252424,1700
2006M04,282531,1750
2006M05,304341,1900
2006M06,307742,1828
2006M07,319706,1892
2006M08,322916,1893
2006M09,298407,1816
2006M10,295804,1833
2006M11,233317,1615
2006M12,219759,1555
2007M01,218935,1712
2007M02,264061,1694
2007M03,284875,2152
2007M04,341996,2239
2007M05,360520,2512
2007M06,377111,2560
2007M07,415194,2685
2007M08,438891,2720
2007M09,379242,2535
2007M10,371966,2618
2007M11,289192,2319
2007M12,279683,2267
2008M01,238054,2118
2008M02,269632,2115
2008M03,316942,2306
2008M04,329150,2358
2008M05,354181,2430
2008M06,353834,2357
2008M07,376888,2372
2008M08,382301,2274
2008M09,342352,2165
2008M10,323629,2199
2008M11,255196,1962
2008M12,251040,1908
2009M01,228891,2074
2009M02,247051,1914
2009M03,284987,2146
2009M04,333384,2236
2009M05,342750,2333
2009M06,355344,2328
2009M07,389340,2420
2009M08,405955,2441
2009M09,364873,2391
2009M10,340170,2361
2009M11,247889,1923
2009M12,243991,1832
2010M01,247370,2251
2010M02,257929,2057
2010M03,318031,2276
2010M04,326124,2310
2010M05,389825,2715
2010M06,413431,2722
2010M07,463900,2941
2010M08,487172,2964
2010M09,376500,2459
2010M10,365384,2513
2010M11,177134,1351
2010M12,161459,1256
2011M01,130116,1140
2011M02,138148,1067
2011M03,184946,1351
2011M04,222510,1551
2011M05,197370,1369
2011M06,202265,1329
2011M07,232579,1469
2011M08,241854,1446
2011M09,208666,1325
2011M10,189198,1301
2011M11,63633,481
2011M12,63496,466
2012M01,65138,581
2012M02,69211,567
2012M03,100884,792
2012M04,192915,1369
2012M05,202815,1505
2012M06,216740,1511
2012M07,258199,1671
2012M08,273750,1677
2012M09,231471,1540
2012M10,205522,1518
2012M11,84037,683
2012M12,77710,607
2013M01,57171,551
2013M02,58385,523
2013M03,98243,757
2013M04,154136,1203
2013M05,176591,1325
2013M06,183501,1296
2013M07,215863,1451
2013M08,235710,1442
2013M09,189263,1294
2013M10,169164,1294
2013M11,70841,575
2013M12,55365,430
2014M01,58332,543
2014M02,56758,482
2014M03,73452,564
2014M04,189839,1381
2014M05,205961,1474
2014M06,219212,1467
2014M07,262421,1656
2014M08,286660,1702
2014M09,229621,1449
2014M10,196967,1372
2014M11,59809,438
2014M12,46793,323
2015M01,43100,324
2015M02,42635,300
2015M03,61338,405
2015M04,158376,1031
2015M05,188287,1180
2015M06,191778,1184
2015M07,226732,1345
2015M08,231420,1328
2015M09,199619,1177
2015M10,173898,1080
2015M11,60787,394
2015M12,47106,310
2016M01,34480,235
2016M02,37542,234
2016M03,62739,382
2016M04,135339,858
2016M05,166065,1019
2016M06,177349,1060
2016M07,220839,1290
2016M08,221985,1289
2016M09,174371,1017
2016M10,155397,946
2016M11,48773,307
2016M12,38501,237
2017M01,38893,255
2017M02,36424,226
2017M03,60285,398
2017M04,178591,1088
2017M05,207038,1319
2017M06,232314,1395
2017M07,272750,1620
2017M08,269591,1569
2017M09,229603,1364
2017M10,185627,1189
2017M11,45286,295
2017M12,41656,257
2018M01,40544,267
2018M02,38654,245
2018M03,69759,446
2018M04,170099,1040
2018M05,209088,1286
2018M06,244218,1446
2018M07,272424,1604
2018M08,277205,1626
2018M09,246815,1468
2018M10,185215,1201
2018M11,36812,235
2018M12,36328,224
