timeperiod,pax,flights
2001M01,35726,447
2001M02,32325,399
2001M03,40361,465
2001M04,45724,514
2001M05,44828,475
2001M06,41338,453
2001M07,39763,475
2001M08,40974,425
2001M09,43518,462
2001M10,41131,485
2001M11,36422,397
2001M12,34262,388
2002M01,31023,392
2002M02,31534,369
2002M03,39702,420
2002M04,41171,409
2002M05,42190,450
2002M06,37738,410
2002M07,38139,459
2002M08,36881,438
2002M09,40878,406
2002M10,38729,416
2002M11,35496,388
2002M12,33763,411
2003M01,34652,443
2003M02,36921,424
2003M03,37673,466
2003M04,41446,453
2003M05,38767,470
2003M06,41016,453
2003M07,42774,488
2003M08,39288,489
2003M09,45621,476
2003M10,43763,467
2003M11,41909,456
2003M12,39784,420
2004M01,35960,421
2004M02,42602,431
2004M03,42847,431
2004M04,46015,454
2004M05,50244,475
2004M06,46664,472
2004M07,47482,550
2004M08,44157,611
2004M09,50741,534
2004M10,48854,522
2004M11,43669,507
2004M12,39670,485
2005M01,38861,508
2005M02,50686,518
2005M03,60490,557
2005M04,61198,576
2005M05,76170,662
2005M06,76652,694
2005M07,89345,721
2005M08,88250,687
2005M09,90070,707
2005M10,86189,729
2005M11,77810,671
2005M12,74441,652
2006M01,66976,747
2006M02,67858,703
2006M03,79876,764
2006M04,83245,724
2006M05,84736,770
2006M06,81911,748
2006M07,85024,786
2006M08,85710,847
2006M09,91006,784
2006M10,95890,848
2006M11,95642,1064
2006M12,93101,1011
2007M01,92115,1083
2007M02,100358,984
2007M03,115620,1119
2007M04,117142,1083
2007M05,122952,1142
2007M06,120948,1094
2007M07,125469,1128
2007M08,128138,1086
2007M09,129570,1079
2007M10,131417,1129
2007M11,99280,915
2007M12,93252,852
2008M01,102544,1066
2008M02,113099,1038
2008M03,129297,1102
2008M04,125333,1097
2008M05,130497,1114
2008M06,122542,1087
2008M07,122470,1120
2008M08,121190,983
2008M09,109377,997
2008M10,101808,910
2008M11,86161,838
2008M12,82522,771
2009M01,68930,677
2009M02,78197,700
2009M03,95810,781
2009M04,100349,782
2009M05,95410,748
2009M06,92817,730
2009M07,103678,783
2009M08,100462,777
2009M09,99480,798
2009M10,98851,819
2009M11,90960,822
2009M12,91030,790
2010M01,74906,763
2010M02,80692,738
2010M03,98592,840
2010M04,89239,766
2010M05,74608,628
2010M06,69475,606
2010M07,69452,616
2010M08,67933,607
2010M09,69798,615
2010M10,77428,645
2010M11,68027,618
2010M12,59293,544
2011M01,57165,546
2011M02,60126,558
2011M03,72247,625
2011M04,74126,612
2011M05,71120,603
2011M06,68701,608
2011M07,65355,579
2011M08,63610,557
2011M09,66961,602
2011M10,64686,628
2011M11,59478,574
2011M12,61466,584
2012M01,54465,561
2012M02,48822,490
2012M03,59747,557
2012M04,52813,527
2012M05,62321,550
2012M06,60063,561
2012M07,60693,566
2012M08,58542,481
2012M09,60827,530
2012M10,53445,483
2012M11,47560,517
2012M12,50931,520
2013M01,43559,517
2013M02,38857,451
2013M03,47955,508
2013M04,52295,575
2013M05,56289,580
2013M06,55685,556
2013M07,55963,546
2013M08,51605,494
2013M09,55547,524
2013M10,48991,502
2013M11,43845,441
2013M12,48569,469
2014M01,42485,462
2014M02,39553,419
2014M03,49040,498
2014M04,57298,581
2014M05,53785,571
2014M06,57020,603
2014M07,57566,585
2014M08,53771,500
2014M09,59786,562
2014M10,58920,594
2014M11,48784,501
2014M12,51039,514
2015M01,44675,472
2015M02,46830,478
2015M03,53795,535
2015M04,56327,590
2015M05,56176,604
2015M06,54602,610
2015M07,55652,564
2015M08,52522,448
2015M09,60966,588
2015M10,59640,617
2015M11,51215,549
2015M12,55711,571
2016M01,50890,490
2016M02,51601,488
2016M03,63560,567
2016M04,61291,567
2016M05,67290,586
2016M06,62870,554
2016M07,62070,540
2016M08,52853,436
2016M09,63593,539
2016M10,62032,538
2016M11,58355,525
2016M12,53598,500
2017M01,54459,512
2017M02,56243,506
2017M03,68719,599
2017M04,75389,631
2017M05,80457,669
2017M06,78032,651
2017M07,76182,608
2017M08,64326,481
2017M09,80625,630
2017M10,82060,674
2017M11,69812,609
2017M12,68137,604
2018M01,72606,655
2018M02,75598,647
2018M03,90286,746
2018M04,93636,782
2018M05,94489,790
2018M06,94187,766
2018M07,94422,733
2018M08,90558,632
2018M09,98814,781
2018M10,99713,816
2018M11,88522,761
2018M12,90653,788
