timeperiod,pax,flights
2001M01,73085,1451
2001M02,76311,1345
2001M03,93400,1612
2001M04,176887,2220
2001M05,368372,3415
2001M06,510910,3925
2001M07,584978,4565
2001M08,623016,5025
2001M09,575265,4285
2001M10,321423,3056
2001M11,71902,1080
2001M12,67389,1089
2002M01,62869,1080
2002M02,67180,1008
2002M03,95133,1218
2002M04,126353,1766
2002M05,348475,3226
2002M06,499273,3691
2002M07,530600,4053
2002M08,631301,4982
2002M09,514049,3873
2002M10,279764,2637
2002M11,80672,1276
2002M12,74368,1259
2003M01,70133,1148
2003M02,74015,1054
2003M03,91993,1213
2003M04,159244,1698
2003M05,348697,2905
2003M06,496299,3560
2003M07,514005,3941
2003M08,664844,5264
2003M09,482128,3543
2003M10,265265,2388
2003M11,83214,1126
2003M12,76064,1078
2004M01,71095,1143
2004M02,83208,1175
2004M03,103533,1334
2004M04,141750,1598
2004M05,325414,2898
2004M06,452249,3532
2004M07,526560,4151
2004M08,625136,5101
2004M09,476723,3772
2004M10,281975,2460
2004M11,85033,1163
2004M12,77803,1106
2005M01,72061,1113
2005M02,82254,1097
2005M03,108644,1290
2005M04,131188,1671
2005M05,333693,2819
2005M06,467246,3486
2005M07,625642,4316
2005M08,697771,4976
2005M09,545104,3725
2005M10,307453,2603
2005M11,114440,1408
2005M12,105318,1429
2006M01,81847,1452
2006M02,96605,1386
2006M03,119455,1566
2006M04,155993,1853
2006M05,333325,3047
2006M06,497794,3943
2006M07,592365,4869
2006M08,640464,5670
2006M09,511397,3940
2006M10,265114,2629
2006M11,103734,1535
2006M12,98362,1397
2007M01,91811,1455
2007M02,101664,1384
2007M03,129654,1615
2007M04,169079,2034
2007M05,342586,3341
2007M06,558331,4443
2007M07,672715,5505
2007M08,734566,6275
2007M09,584401,4676
2007M10,272406,2672
2007M11,105510,1450
2007M12,98211,1436
2008M01,91650,1417
2008M02,109308,1493
2008M03,141207,1770
2008M04,152196,2112
2008M05,345253,3442
2008M06,530252,4547
2008M07,625368,5327
2008M08,711344,5844
2008M09,518241,4432
2008M10,251367,2764
2008M11,102995,1577
2008M12,94981,1446
2009M01,85905,1440
2009M02,96794,1467
2009M03,123468,1710
2009M04,169630,2163
2009M05,322441,3273
2009M06,506438,4311
2009M07,647077,5405
2009M08,739653,6048
2009M09,522397,4368
2009M10,252790,2699
2009M11,105451,1526
2009M12,102089,1500
2010M01,86915,1341
2010M02,95280,1346
2010M03,131165,1677
2010M04,153204,2062
2010M05,255336,2757
2010M06,398134,3620
2010M07,540229,4624
2010M08,611007,4922
2010M09,441507,3814
2010M10,216117,2502
2010M11,113651,1594
2010M12,104056,1474
2011M01,98744,1519
2011M02,103270,1479
2011M03,140143,1830
2011M04,179615,2027
2011M05,279517,2761
2011M06,457547,3902
2011M07,598656,5048
2011M08,659037,5462
2011M09,491482,4052
2011M10,237234,2503
2011M11,115790,1455
2011M12,111153,1323
2012M01,99590,1321
2012M02,97587,1194
2012M03,130929,1504
2012M04,175521,1854
2012M05,291317,2613
2012M06,469540,3643
2012M07,620987,4806
2012M08,672554,5047
2012M09,518001,4020
2012M10,225404,2206
2012M11,95281,1102
2012M12,96252,1069
2013M01,85440,1021
2013M02,86732,974
2013M03,116502,1213
2013M04,168664,1731
2013M05,358628,2807
2013M06,556030,3988
2013M07,672383,4885
2013M08,743588,5336
2013M09,586276,4186
2013M10,269939,2310
2013M11,106257,1084
2013M12,103797,1075
2014M01,92291,1023
2014M02,92191,932
2014M03,117007,1076
2014M04,199330,1807
2014M05,411786,3244
2014M06,605339,4363
2014M07,709776,5301
2014M08,814366,5846
2014M09,649186,4636
2014M10,315411,2505
2014M11,114303,1118
2014M12,113877,1104
2015M01,105153,1095
2015M02,107430,1042
2015M03,146108,1351
2015M04,233622,2125
2015M05,470596,3911
2015M06,658800,5114
2015M07,819279,6208
2015M08,901426,6912
2015M09,706886,5317
2015M10,369401,3190
2015M11,131256,1522
2015M12,135830,1587
2016M01,124067,1590
2016M02,125259,1423
2016M03,176726,1837
2016M04,275752,2740
2016M05,587150,4574
2016M06,801643,5754
2016M07,946773,6871
2016M08,1015606,7494
2016M09,851341,6044
2016M10,506814,4096
2016M11,147237,1572
2016M12,144116,1533
2017M01,137532,1627
2017M02,139219,1535
2017M03,190881,1966
2017M04,400213,3383
2017M05,673888,5055
2017M06,902086,6465
2017M07,1065851,7728
2017M08,1095640,8051
2017M09,923070,6630
2017M10,568471,4399
2017M11,181056,1853
2017M12,180788,1834
2018M01,161709,1802
2018M02,166354,1721
2018M03,247741,2377
2018M04,418170,3641
2018M05,726804,5439
2018M06,936315,6640
2018M07,1046993,7799
2018M08,1081284,7932
2018M09,941428,6875
2018M10,590187,4779
2018M11,200120,2062
2018M12,197198,2002
