timeperiod,pax,flights
2001M01,29755,445
2001M02,32199,403
2001M03,45423,509
2001M04,52210,590
2001M05,60030,609
2001M06,60466,566
2001M07,62781,584
2001M08,67295,593
2001M09,61153,552
2001M10,54218,538
2001M11,44506,464
2001M12,33762,400
2002M01,31114,411
2002M02,34679,391
2002M03,51868,487
2002M04,49645,448
2002M05,57526,461
2002M06,52861,443
2002M07,55265,475
2002M08,57770,478
2002M09,59083,459
2002M10,49803,436
2002M11,38888,419
2002M12,31072,339
2003M01,33281,363
2003M02,36116,347
2003M03,51810,454
2003M04,57310,444
2003M05,71916,511
2003M06,68696,486
2003M07,63427,467
2003M08,70689,498
2003M09,71311,490
2003M10,71752,490
2003M11,44968,432
2003M12,38652,381
2004M01,37532,413
2004M02,52661,460
2004M03,69889,574
2004M04,70479,582
2004M05,90268,719
2004M06,88523,696
2004M07,90829,681
2004M08,97472,723
2004M09,93733,710
2004M10,92723,710
2004M11,61988,579
2004M12,51058,510
2005M01,55166,566
2005M02,63711,552
2005M03,84043,668
2005M04,94076,809
2005M05,108612,972
2005M06,108470,956
2005M07,110003,954
2005M08,115126,919
2005M09,117022,973
2005M10,112210,967
2005M11,76752,784
2005M12,68629,730
2006M01,63549,716
2006M02,70111,735
2006M03,96005,878
2006M04,106259,851
2006M05,119551,920
2006M06,118451,899
2006M07,112937,823
2006M08,116296,836
2006M09,118903,844
2006M10,115132,871
2006M11,72951,687
2006M12,66398,598
2007M01,63613,658
2007M02,66847,591
2007M03,95404,783
2007M04,125038,1075
2007M05,138747,1241
2007M06,142661,1178
2007M07,152037,1192
2007M08,168719,1267
2007M09,152416,1208
2007M10,148012,1208
2007M11,95235,918
2007M12,85797,813
2008M01,74320,778
2008M02,86461,793
2008M03,111655,941
2008M04,108952,978
2008M05,117537,952
2008M06,114648,919
2008M07,115616,901
2008M08,111964,836
2008M09,103520,872
2008M10,92033,856
2008M11,58875,647
2008M12,52081,547
2009M01,41304,521
2009M02,55048,547
2009M03,72498,642
2009M04,85483,723
2009M05,96733,783
2009M06,99656,772
2009M07,108045,804
2009M08,103389,767
2009M09,91624,748
2009M10,87067,733
2009M11,58904,548
2009M12,55360,508
2010M01,47107,533
2010M02,55096,517
2010M03,78431,644
2010M04,77278,660
2010M05,86720,671
2010M06,86950,668
2010M07,96788,716
2010M08,98041,729
2010M09,86889,660
2010M10,85756,662
2010M11,53526,505
2010M12,42092,438
2011M01,38371,431
2011M02,46798,474
2011M03,74005,597
2011M04,80163,611
2011M05,83096,632
2011M06,91498,687
2011M07,97990,721
2011M08,99254,722
2011M09,91359,697
2011M10,85663,643
2011M11,45173,412
2011M12,33363,357
2012M01,30360,365
2012M02,38695,400
2012M03,58230,494
2012M04,63521,516
2012M05,75028,573
2012M06,76848,575
2012M07,87140,626
2012M08,86685,626
2012M09,81700,569
2012M10,74924,586
2012M11,36670,368
2012M12,28321,287
2013M01,22134,225
2013M02,25202,275
2013M03,42168,410
2013M04,54451,471
2013M05,67807,566
2013M06,65968,526
2013M07,74336,570
2013M08,77743,574
2013M09,70112,533
2013M10,68265,553
2013M11,35166,348
2013M12,25478,280
2014M01,21624,250
2014M02,23769,283
2014M03,41243,385
2014M04,55449,523
2014M05,68733,615
2014M06,76879,629
2014M07,80357,645
2014M08,86498,669
2014M09,80880,611
2014M10,74043,596
2014M11,31402,376
2014M12,22574,307
2015M01,20590,301
2015M02,25610,316
2015M03,46059,435
2015M04,67078,580
2015M05,80124,658
2015M06,82746,652
2015M07,86903,690
2015M08,93145,724
2015M09,87618,649
2015M10,83762,682
2015M11,41177,450
2015M12,27427,319
2016M01,19721,281
2016M02,25828,322
2016M03,47049,468
2016M04,73901,594
2016M05,92869,692
2016M06,91743,676
2016M07,96495,711
2016M08,101593,728
2016M09,98362,686
2016M10,98292,684
2016M11,50236,457
2016M12,35735,353
2017M01,32229,338
2017M02,37460,371
2017M03,58097,489
2017M04,80542,603
2017M05,105685,736
2017M06,110907,753
2017M07,120644,798
2017M08,114448,731
2017M09,116055,728
2017M10,115036,752
2017M11,58511,491
2017M12,44516,372
2018M01,39821,369
2018M02,46339,378
2018M03,63958,493
2018M04,95291,681
2018M05,116160,788
2018M06,115992,784
2018M07,123230,810
2018M08,122839,823
2018M09,118637,772
2018M10,116149,797
2018M11,63682,551
2018M12,48579,396
