timeperiod,pax,flights
2001M01,5537,127
2001M02,5133,112
2001M03,5868,126
2001M04,10452,159
2001M05,15173,204
2001M06,17898,216
2001M07,17232,224
2001M08,18876,240
2001M09,17724,214
2001M10,15641,212
2001M11,10101,159
2001M12,8638,163
2002M01,8317,166
2002M02,8667,140
2002M03,12666,186
2002M04,21394,270
2002M05,24388,301
2002M06,30570,318
2002M07,34276,373
2002M08,41698,419
2002M09,30416,327
2002M10,25412,302
2002M11,14410,215
2002M12,11552,198
2003M01,10644,188
2003M02,10705,172
2003M03,15502,212
2003M04,24813,290
2003M05,49626,488
2003M06,55532,524
2003M07,61481,564
2003M08,66869,577
2003M09,59734,537
2003M10,55102,517
2003M11,51885,505
2003M12,44910,479
2004M01,46643,511
2004M02,49837,479
2004M03,54427,503
2004M04,59831,582
2004M05,69505,642
2004M06,73465,618
2004M07,78247,677
2004M08,91727,799
2004M09,87979,720
2004M10,84858,693
2004M11,58171,498
2004M12,52071,490
2005M01,61077,588
2005M02,66247,634
2005M03,85489,795
2005M04,97305,879
2005M05,111782,957
2005M06,121779,973
2005M07,143531,1171
2005M08,160267,1288
2005M09,132234,1047
2005M10,130534,1046
2005M11,95268,812
2005M12,91596,843
2006M01,94206,955
2006M02,93482,931
2006M03,115125,1052
2006M04,127145,1067
2006M05,137109,1143
2006M06,138448,1127
2006M07,158139,1272
2006M08,166053,1340
2006M09,146653,1174
2006M10,142830,1154
2006M11,99879,928
2006M12,94365,891
2007M01,99363,1006
2007M02,104859,966
2007M03,141267,1155
2007M04,167499,1371
2007M05,183084,1500
2007M06,194895,1499
2007M07,211600,1633
2007M08,223815,1665
2007M09,204924,1513
2007M10,195063,1480
2007M11,102502,960
2007M12,92321,930
2008M01,87125,917
2008M02,101422,973
2008M03,131030,1174
2008M04,155061,1358
2008M05,178645,1457
2008M06,192039,1495
2008M07,212647,1585
2008M08,222799,1647
2008M09,193502,1444
2008M10,176874,1412
2008M11,91063,887
2008M12,78961,817
2009M01,71749,715
2009M02,77743,703
2009M03,97951,831
2009M04,141472,1140
2009M05,160264,1203
2009M06,166623,1199
2009M07,195651,1344
2009M08,207428,1382
2009M09,171999,1203
2009M10,151096,1168
2009M11,64263,586
2009M12,59749,560
2010M01,54691,559
2010M02,56218,532
2010M03,72704,638
2010M04,97095,830
2010M05,136146,1064
2010M06,149261,1109
2010M07,177277,1256
2010M08,181271,1244
2010M09,154119,1078
2010M10,139269,1056
2010M11,34556,375
2010M12,27216,323
2011M01,26307,323
2011M02,28461,331
2011M03,54281,520
2011M04,120305,970
2011M05,130850,1060
2011M06,145631,1126
2011M07,162967,1193
2011M08,170634,1156
2011M09,151392,1100
2011M10,125394,1030
2011M11,36078,411
2011M12,28693,338
2012M01,28379,349
2012M02,33400,373
2012M03,54139,529
2012M04,112904,963
2012M05,123373,995
2012M06,147694,1082
2012M07,155154,1107
2012M08,165904,1125
2012M09,145126,1043
2012M10,125764,955
2012M11,34742,335
2012M12,21727,225
2013M01,21596,227
2013M02,22429,223
2013M03,50276,424
2013M04,104869,819
2013M05,120958,915
2013M06,135065,911
2013M07,144958,977
2013M08,156044,1020
2013M09,136244,926
2013M10,121182,885
2013M11,39767,348
2013M12,28361,248
2014M01,25312,232
2014M02,27188,221
2014M03,36592,276
2014M04,95513,691
2014M05,120025,830
2014M06,123707,823
2014M07,137653,913
2014M08,144254,919
2014M09,128100,835
2014M10,108106,732
2014M11,27571,236
2014M12,17889,153
2015M01,17454,117
2015M02,16706,105
2015M03,26811,176
2015M04,100573,622
2015M05,118564,719
2015M06,127562,769
2015M07,138027,825
2015M08,139463,820
2015M09,124687,735
2015M10,106229,652
2015M11,22417,158
2015M12,16520,118
2016M01,18026,124
2016M02,17380,114
2016M03,48480,318
2016M04,105608,660
2016M05,116953,699
2016M06,118444,700
2016M07,131350,762
2016M08,133633,770
2016M09,122062,704
2016M10,108477,660
2016M11,41111,268
2016M12,34718,235
2017M01,38309,268
2017M02,37045,248
2017M03,52542,344
2017M04,112569,694
2017M05,122019,754
2017M06,127123,760
2017M07,135891,810
2017M08,138488,809
2017M09,124610,726
2017M10,112936,681
2017M11,45252,282
2017M12,41339,270
2018M01,44310,289
2018M02,43339,271
2018M03,60344,384
2018M04,119187,706
2018M05,125592,743
2018M06,134348,775
2018M07,138103,794
2018M08,139284,798
2018M09,130664,759
2018M10,119048,720
2018M11,47900,305
2018M12,46168,312
