timeperiod,pax,flights
2001M01,2272038,26841
2001M02,2272901,24886
2001M03,2677349,27840
2001M04,2896544,28177
2001M05,2779528,29133
2001M06,2838973,28427
2001M07,3041249,29414
2001M08,3043608,28010
2001M09,2919397,28529
2001M10,2662994,28689
2001M11,2296776,24955
2001M12,2265683,24345
2002M01,2182826,25521
2002M02,2236217,23506
2002M03,2665757,25909
2002M04,2693003,26964
2002M05,2696640,28273
2002M06,2703780,26651
2002M07,3011748,29026
2002M08,3008731,27477
2002M09,2962270,27548
2002M10,2838967,28192
2002M11,2411484,26661
2002M12,2397984,26843
2003M01,2333798,26481
2003M02,2311396,24283
2003M03,2600554,26945
2003M04,2743580,26692
2003M05,2721732,27247
2003M06,2859708,27329
2003M07,3173360,29091
2003M08,3197689,27232
2003M09,3060841,28141
2003M10,2991225,28692
2003M11,2652264,27333
2003M12,2524547,26257
2004M01,2460337,27342
2004M02,2638849,26510
2004M03,2887011,29190
2004M04,2935803,27932
2004M05,3004563,29294
2004M06,3155105,29238
2004M07,3398349,30479
2004M08,3422183,29495
2004M09,3206294,29562
2004M10,3186198,29645
2004M11,2777113,28696
2004M12,2721511,28433
2005M01,2746632,29107
2005M02,2763505,27355
2005M03,3311702,30536
2005M04,3216643,30298
2005M05,3392561,30881
2005M06,3415071,30863
2005M07,3818954,32251
2005M08,3739616,30623
2005M09,3619351,31163
2005M10,3498504,30809
2005M11,3103273,29762
2005M12,3019470,29393
2006M01,2965472,30198
2006M02,2946912,28193
2006M03,3412560,31569
2006M04,3663322,30599
2006M05,3672730,32337
2006M06,3736871,31620
2006M07,3958256,31513
2006M08,3979512,31305
2006M09,3885342,31379
2006M10,3886638,32542
2006M11,3480290,32827
2006M12,3412140,31230
2007M01,3314321,32852
2007M02,3359489,31119
2007M03,4056870,35708
2007M04,4117357,34685
2007M05,4116813,36986
2007M06,4265656,35827
2007M07,4659424,36874
2007M08,4511948,35022
2007M09,4370722,35713
2007M10,4410664,37155
2007M11,3958226,36179
2007M12,3728251,34219
2008M01,3653526,35272
2008M02,3775624,34586
2008M03,4327005,36622
2008M04,4125177,36316
2008M05,4281757,36265
2008M06,4248635,36139
2008M07,4604928,36635
2008M08,4442454,33835
2008M09,3986935,34142
2008M10,3857643,34441
2008M11,3382864,31639
2008M12,3334194,30372
2009M01,2964497,29102
2009M02,3130980,29145
2009M03,3683722,33051
2009M04,4018181,32691
2009M05,3848756,33158
2009M06,4038446,32902
2009M07,4546709,34458
2009M08,4399883,32493
2009M09,4007373,32935
2009M10,4015507,33433
2009M11,3530569,31879
2009M12,3559513,31055
2010M01,3293226,30232
2010M02,3279113,29118
2010M03,3923255,32960
2010M04,3756957,31214
2010M05,4050885,33130
2010M06,4222847,33367
2010M07,4614750,34022
2010M08,4480617,32459
2010M09,4182529,32101
2010M10,4200563,33302
2010M11,3621920,31405
2010M12,3355299,28958
2011M01,3382618,30917
2011M02,3232732,29282
2011M03,3847501,33360
2011M04,4062674,32664
2011M05,3984390,33664
2011M06,4120718,33162
2011M07,4560249,33623
2011M08,4417891,32509
2011M09,4240983,33344
2011M10,4080990,33106
2011M11,3454758,29561
2011M12,3441073,28946
2012M01,3158876,27830
2012M02,2984964,25624
2012M03,3494949,28439
2012M04,3647998,27351
2012M05,3750954,29950
2012M06,3898748,29308
2012M07,4199263,29745
2012M08,3960652,28189
2012M09,3811527,28778
2012M10,3663466,29110
2012M11,3019631,24976
2012M12,2930795,24285
2013M01,2778443,23777
2013M02,2523180,21174
2013M03,3028478,24011
2013M04,3092044,24730
2013M05,3234892,25897
2013M06,3336415,25031
2013M07,3621811,26272
2013M08,3513038,24878
2013M09,3406075,25426
2013M10,3313755,25739
2013M11,2844489,23432
2013M12,2905918,23244
2014M01,2739868,23011
2014M02,2562939,21315
2014M03,3093646,24708
2014M04,3316263,25434
2014M05,3361339,26592
2014M06,3476700,26493
2014M07,3770618,27340
2014M08,3656794,25716
2014M09,3634829,26379
2014M10,3566145,27265
2014M11,3084103,24668
2014M12,3153360,24600
2015M01,2987520,24460
2015M02,2861361,22919
2015M03,3490597,26381
2015M04,3591822,27504
2015M05,3761387,28502
2015M06,3857026,28609
2015M07,4256710,29738
2015M08,4182322,28322
2015M09,4050404,28525
2015M10,4049565,28684
2015M11,3481106,26387
2015M12,3422024,26150
2016M01,3295019,25488
2016M02,3259314,24528
2016M03,3746298,26850
2016M04,3694705,26921
2016M05,4036656,28729
2016M06,4097522,28527
2016M07,4493549,29787
2016M08,4360305,28784
2016M09,4269878,29042
2016M10,4222371,28668
2016M11,3696172,26355
2016M12,3754994,26520
2017M01,3617723,26288
2017M02,3388877,24242
2017M03,3976986,27744
2017M04,4194284,28115
2017M05,4214947,29374
2017M06,4374262,29663
2017M07,4621152,30235
2017M08,4479167,28845
2017M09,4423748,29340
2017M10,4405421,29389
2017M11,3934370,27253
2017M12,3959977,27414
2018M01,3872279,27772
2018M02,3689813,25503
2018M03,4311364,29040
2018M04,4521458,29686
2018M05,4651459,30890
2018M06,4715466,30537
2018M07,5089363,32172
2018M08,4930116,31030
2018M09,4831057,31606
2018M10,4861547,32062
2018M11,4281646,29182
2018M12,4292221,29343
