timeperiod,pax,flights
2001M01,406401,4076
2001M02,458013,3954
2001M03,641127,4916
2001M04,773088,5683
2001M05,759469,5933
2001M06,818028,6004
2001M07,861702,6390
2001M08,890632,6646
2001M09,862752,6355
2001M10,767812,5852
2001M11,520449,4266
2001M12,444844,3985
2002M01,413995,3956
2002M02,487228,3913
2002M03,708380,5105
2002M04,729643,5428
2002M05,807499,5974
2002M06,877510,6122
2002M07,888417,6370
2002M08,955544,6674
2002M09,899338,6131
2002M10,876404,6122
2002M11,601774,5216
2002M12,504253,4911
2003M01,507544,4725
2003M02,557711,4515
2003M03,736198,5450
2003M04,872270,6362
2003M05,993810,7234
2003M06,977180,6971
2003M07,1038399,7480
2003M08,1133606,7923
2003M09,966250,6984
2003M10,948924,6883
2003M11,641062,5455
2003M12,555451,5078
2004M01,568061,5193
2004M02,663418,5291
2004M03,765646,5960
2004M04,905256,6917
2004M05,992347,7679
2004M06,985736,7343
2004M07,1116224,8020
2004M08,1125943,8187
2004M09,1035913,7539
2004M10,1016512,7528
2004M11,632772,5535
2004M12,574211,5363
2005M01,623262,5702
2005M02,656607,5565
2005M03,856364,6571
2005M04,955520,7311
2005M05,1081282,8180
2005M06,1098421,8164
2005M07,1237194,9055
2005M08,1195922,8933
2005M09,1134280,8333
2005M10,1113315,8471
2005M11,703835,6205
2005M12,623417,6097
2006M01,638019,6107
2006M02,660759,5792
2006M03,843819,6755
2006M04,1037179,7599
2006M05,1099097,8340
2006M06,1126271,8488
2006M07,1234852,9228
2006M08,1221832,9101
2006M09,1163205,8541
2006M10,1110814,8347
2006M11,721892,6167
2006M12,670925,6150
2007M01,633839,5982
2007M02,671393,5699
2007M03,880219,6475
2007M04,1026862,7785
2007M05,1100848,8540
2007M06,1150065,8622
2007M07,1296671,9186
2007M08,1299979,9073
2007M09,1217463,8726
2007M10,1108074,8299
2007M11,740157,6152
2007M12,678445,6161
2008M01,600961,5763
2008M02,657727,5582
2008M03,848681,6305
2008M04,912311,6946
2008M05,1043904,7674
2008M06,1070060,7770
2008M07,1175844,8305
2008M08,1210480,8385
2008M09,1034670,7498
2008M10,972289,7285
2008M11,616349,5072
2008M12,534359,4883
2009M01,490612,4664
2009M02,529140,4464
2009M03,682666,5303
2009M04,868560,6420
2009M05,956095,6984
2009M06,978987,6913
2009M07,1105288,7456
2009M08,1119470,7555
2009M09,991438,6916
2009M10,921135,6670
2009M11,576428,4632
2009M12,537198,4616
2010M01,492892,4563
2010M02,536340,4395
2010M03,698941,5226
2010M04,764136,6174
2010M05,957985,7120
2010M06,1011117,7462
2010M07,1175970,8313
2010M08,1190265,8189
2010M09,1057105,7427
2010M10,1051318,7510
2010M11,622228,5034
2010M12,527929,4607
2011M01,512506,4647
2011M02,544128,4501
2011M03,719507,5574
2011M04,984190,7206
2011M05,1007386,7446
2011M06,1054309,7559
2011M07,1217252,8326
2011M08,1221964,8137
2011M09,1110184,7500
2011M10,1041653,7210
2011M11,582122,4522
2011M12,543142,4552
2012M01,482537,4223
2012M02,513219,4163
2012M03,691802,5145
2012M04,934324,6803
2012M05,967818,6873
2012M06,1062221,7269
2012M07,1187725,7882
2012M08,1194121,7896
2012M09,1086620,7247
2012M10,970411,6610
2012M11,539090,4117
2012M12,493834,3989
2013M01,470568,3796
2013M02,497045,3647
2013M03,704932,4898
2013M04,902923,6465
2013M05,1037401,7212
2013M06,1098614,7310
2013M07,1229339,8135
2013M08,1251478,8278
2013M09,1132574,7465
2013M10,1034548,7017
2013M11,607433,4634
2013M12,554215,4459
2014M01,502309,4187
2014M02,540943,4052
2014M03,721289,5039
2014M04,1041769,7235
2014M05,1100654,7584
2014M06,1154106,7667
2014M07,1288560,8568
2014M08,1331959,8764
2014M09,1185688,7739
2014M10,1100209,7312
2014M11,635270,4726
2014M12,578447,4470
2015M01,562916,4442
2015M02,586094,4180
2015M03,779857,5266
2015M04,1082218,7425
2015M05,1199753,8059
2015M06,1212192,8016
2015M07,1385570,8964
2015M08,1403277,9152
2015M09,1256448,7987
2015M10,1183550,7678
2015M11,683556,4905
2015M12,636820,4804
2016M01,647790,4888
2016M02,709904,4945
2016M03,958936,6388
2016M04,1227060,8062
2016M05,1392484,9058
2016M06,1425660,9171
2016M07,1649406,10431
2016M08,1621810,10253
2016M09,1498658,9346
2016M10,1452843,9260
2016M11,838485,5872
2016M12,790677,5832
2017M01,772663,5808
2017M02,817740,5731
2017M03,1062339,7079
2017M04,1472017,9394
2017M05,1570839,10270
2017M06,1635472,10536
2017M07,1846449,11605
2017M08,1829178,11484
2017M09,1681591,10474
2017M10,1568675,9905
2017M11,926717,6459
2017M12,869114,6367
2018M01,829679,6067
2018M02,861245,5944
2018M03,1138690,7680
2018M04,1481607,9594
2018M05,1592825,10292
2018M06,1654478,10586
2018M07,1821035,11650
2018M08,1792769,11500
2018M09,1693693,10745
2018M10,1616520,10483
2018M11,1028470,7412
2018M12,983372,7364
