timeperiod,pax,flights
2001M01,49489,1065
2001M02,49718,991
2001M03,62218,1125
2001M04,119434,1553
2001M05,233207,2195
2001M06,312626,2476
2001M07,325149,2652
2001M08,375684,3184
2001M09,308018,2534
2001M10,204679,2054
2001M11,55681,909
2001M12,54151,903
2002M01,46013,946
2002M02,47619,884
2002M03,68040,1023
2002M04,87792,1102
2002M05,232418,1951
2002M06,295131,2247
2002M07,325770,2536
2002M08,397790,3208
2002M09,298865,2350
2002M10,192227,1736
2002M11,62910,1140
2002M12,58967,1113
2003M01,50982,1004
2003M02,52409,914
2003M03,63352,1034
2003M04,99341,1203
2003M05,233159,1926
2003M06,290089,2255
2003M07,309440,2535
2003M08,381944,3137
2003M09,274571,2287
2003M10,189781,1701
2003M11,58018,835
2003M12,55514,827
2004M01,47877,862
2004M02,53571,912
2004M03,64671,1028
2004M04,92849,1193
2004M05,205301,1774
2004M06,270350,2187
2004M07,318374,2506
2004M08,352761,2868
2004M09,266697,2277
2004M10,183875,1661
2004M11,62160,890
2004M12,55820,790
2005M01,50601,804
2005M02,55021,879
2005M03,73774,971
2005M04,82169,992
2005M05,201016,1728
2005M06,266965,2203
2005M07,335470,2609
2005M08,371041,3080
2005M09,303545,2472
2005M10,180263,1781
2005M11,79865,1089
2005M12,73441,1013
2006M01,55302,1029
2006M02,57556,964
2006M03,74915,1089
2006M04,101642,1428
2006M05,201502,2038
2006M06,283938,2496
2006M07,315146,2917
2006M08,359735,3461
2006M09,287237,2565
2006M10,168592,1840
2006M11,74720,1275
2006M12,72042,1190
2007M01,63783,1148
2007M02,63979,1103
2007M03,88786,1363
2007M04,113851,1618
2007M05,207673,2193
2007M06,303399,2605
2007M07,343745,2935
2007M08,393506,3438
2007M09,291082,2579
2007M10,170610,1860
2007M11,79296,1181
2007M12,70943,1195
2008M01,64388,1124
2008M02,71067,1179
2008M03,97524,1391
2008M04,104350,1534
2008M05,213932,2061
2008M06,272427,2428
2008M07,334700,2941
2008M08,390512,3442
2008M09,270639,2504
2008M10,148360,1727
2008M11,75360,1118
2008M12,63999,1137
2009M01,55002,1112
2009M02,62070,1094
2009M03,77597,1240
2009M04,107150,1473
2009M05,198332,2090
2009M06,278183,2490
2009M07,368816,3083
2009M08,424626,3385
2009M09,283733,2536
2009M10,147565,1663
2009M11,74839,1029
2009M12,69822,1018
2010M01,56905,967
2010M02,60773,954
2010M03,79444,1153
2010M04,95293,1352
2010M05,187975,1936
2010M06,280496,2449
2010M07,377568,3239
2010M08,434331,3563
2010M09,298690,2506
2010M10,151057,1742
2010M11,73982,1073
2010M12,62937,1020
2011M01,55828,931
2011M02,58821,946
2011M03,73788,1104
2011M04,95206,1266
2011M05,158447,1682
2011M06,242900,2170
2011M07,335892,2815
2011M08,380022,3085
2011M09,257624,2204
2011M10,121079,1450
2011M11,61283,907
2011M12,59690,804
2012M01,51187,819
2012M02,46353,739
2012M03,64458,900
2012M04,79245,1044
2012M05,155956,1569
2012M06,249671,2013
2012M07,335388,2650
2012M08,392771,2970
2012M09,263767,2143
2012M10,123622,1326
2012M11,53199,748
2012M12,56707,769
2013M01,50176,752
2013M02,49536,691
2013M03,67667,916
2013M04,78707,1054
2013M05,180066,1587
2013M06,271246,2062
2013M07,354469,2591
2013M08,409442,2938
2013M09,275931,2092
2013M10,123233,1240
2013M11,59052,801
2013M12,54877,757
2014M01,47913,737
2014M02,49450,689
2014M03,61040,762
2014M04,90761,1001
2014M05,169234,1443
2014M06,258497,1965
2014M07,335220,2580
2014M08,411068,3057
2014M09,279373,2100
2014M10,125891,1129
2014M11,57535,710
2014M12,55099,694
2015M01,45610,661
2015M02,46790,615
2015M03,62430,759
2015M04,89182,989
2015M05,181946,1853
2015M06,276925,2434
2015M07,361183,3048
2015M08,422947,3479
2015M09,292204,2490
2015M10,142807,1583
2015M11,56841,1046
2015M12,62562,1059
2016M01,53763,982
2016M02,63117,998
2016M03,86985,1208
2016M04,94847,1246
2016M05,202690,1839
2016M06,305986,2434
2016M07,409876,3213
2016M08,444302,3496
2016M09,322631,2615
2016M10,166837,1629
2016M11,70238,1111
2016M12,67577,1029
2017M01,60025,971
2017M02,63438,897
2017M03,83604,1028
2017M04,122835,1314
2017M05,231962,1872
2017M06,341837,2493
2017M07,441326,3154
2017M08,468819,3409
2017M09,362588,2621
2017M10,181744,1503
2017M11,74648,799
2017M12,72812,782
2018M01,63717,796
2018M02,67609,825
2018M03,94488,1087
2018M04,119377,1257
2018M05,220928,1862
2018M06,362752,2773
2018M07,431569,3214
2018M08,459965,3426
2018M09,359914,2842
2018M10,197942,1788
2018M11,81920,960
2018M12,81820,970
