timeperiod,pax,flights
2001M01,570557,6590
2001M02,713851,6838
2001M03,1009258,8613
2001M04,1369424,10985
2001M05,1771263,13283
2001M06,2035313,14088
2001M07,2163436,14958
2001M08,2195988,14970
2001M09,2151864,14587
2001M10,1633100,12814
2001M11,648508,6326
2001M12,519364,5716
2002M01,495909,5720
2002M02,636470,6117
2002M03,1009940,8389
2002M04,1072440,9163
2002M05,1588574,12270
2002M06,1803732,12838
2002M07,1916958,13258
2002M08,2134281,14437
2002M09,1849699,12895
2002M10,1467084,11461
2002M11,664902,6870
2002M12,583172,6546
2003M01,590527,6240
2003M02,690631,6427
2003M03,964601,8311
2003M04,1304912,10156
2003M05,1724014,12757
2003M06,1993755,13562
2003M07,2099763,14305
2003M08,2447810,16203
2003M09,1974201,13656
2003M10,1611317,12191
2003M11,786206,7570
2003M12,666504,6916
2004M01,648677,6945
2004M02,836237,7576
2004M03,1073575,9062
2004M04,1307605,11047
2004M05,1801986,13843
2004M06,2004674,14042
2004M07,2303222,15804
2004M08,2446232,16517
2004M09,2113831,14644
2004M10,1874001,14032
2004M11,824823,7974
2004M12,752067,7608
2005M01,734644,7507
2005M02,828608,7657
2005M03,1156536,9655
2005M04,1302032,10655
2005M05,1914107,13966
2005M06,2089426,14320
2005M07,2423993,16557
2005M08,2498547,16932
2005M09,2238783,15176
2005M10,1862010,14042
2005M11,858599,8409
2005M12,766171,8048
2006M01,767249,7783
2006M02,846945,7763
2006M03,1122878,9371
2006M04,1528311,11459
2006M05,2043607,14843
2006M06,2350706,15721
2006M07,2594188,17536
2006M08,2634819,17805
2006M09,2417947,14750
2006M10,1970361,13978
2006M11,878983,8252
2006M12,792025,7551
2007M01,747651,7644
2007M02,853392,7954
2007M03,1220142,10040
2007M04,1520114,12050
2007M05,2079159,16041
2007M06,2374717,16478
2007M07,2674504,17908
2007M08,2705219,17931
2007M09,2500423,16691
2007M10,1974697,14632
2007M11,926187,8646
2007M12,804092,8014
2008M01,771957,7923
2008M02,907241,8263
2008M03,1278266,10246
2008M04,1464315,11965
2008M05,2195316,16344
2008M06,2349988,16590
2008M07,2660603,18222
2008M08,2780335,18710
2008M09,2396272,16599
2008M10,1933821,15055
2008M11,853225,8229
2008M12,755503,7642
2009M01,701794,7481
2009M02,779322,7531
2009M03,1064003,9261
2009M04,1470104,11894
2009M05,1956882,14929
2009M06,2220631,15176
2009M07,2516062,16739
2009M08,2536205,16948
2009M09,2146846,14998
2009M10,1789080,13832
2009M11,793008,7551
2009M12,732817,7188
2010M01,662595,6941
2010M02,741066,6936
2010M03,1052964,9005
2010M04,1225039,10592
2010M05,1928525,14601
2010M06,2182659,15215
2010M07,2588061,17108
2010M08,2702662,17043
2010M09,2267706,15180
2010M10,1864240,14063
2010M11,774188,7240
2010M12,688120,6628
2011M01,660409,6708
2011M02,702929,6565
2011M03,999054,8614
2011M04,1525215,11955
2011M05,2091233,15454
2011M06,2458346,16473
2011M07,2904746,18703
2011M08,2964337,18622
2011M09,2557964,16562
2011M10,2036104,14594
2011M11,732677,6724
2011M12,646846,5904
2012M01,593704,5668
2012M02,640030,5542
2012M03,967411,7876
2012M04,1458158,11251
2012M05,2029706,14478
2012M06,2451484,16026
2012M07,2843990,17998
2012M08,2859886,18047
2012M09,2552278,16145
2012M10,1924098,13444
2012M11,676078,5708
2012M12,589812,5170
2013M01,529903,4850
2013M02,578770,4831
2013M03,974632,7498
2013M04,1410756,10538
2013M05,2113905,14416
2013M06,2433815,15489
2013M07,2753042,17427
2013M08,2844437,17720
2013M09,2481153,15542
2013M10,1942919,13072
2013M11,662678,5545
2013M12,566402,4856
2014M01,518784,4607
2014M02,557339,4545
2014M03,831001,6256
2014M04,1536075,11252
2014M05,2158210,14975
2014M06,2564771,16532
2014M07,2859678,18391
2014M08,3072581,19117
2014M09,2589886,16282
2014M10,2005910,13453
2014M11,691896,5804
2014M12,598943,5227
2015M01,540881,5008
2015M02,599210,4982
2015M03,905235,6827
2015M04,1588654,11684
2015M05,2322192,16162
2015M06,2612327,16874
2015M07,2967646,19015
2015M08,3142050,19581
2015M09,2691570,16954
2015M10,2155723,14804
2015M11,730864,6355
2015M12,644816,5770
2016M01,587885,5533
2016M02,681959,5848
2016M03,1146738,8843
2016M04,1648390,11899
2016M05,2626979,17393
2016M06,2960737,18992
2016M07,3410588,21605
2016M08,3399044,21754
2016M09,2997923,19206
2016M10,2556945,17052
2016M11,790046,6848
2016M12,704887,6352
2017M01,632444,6080
2017M02,711712,6174
2017M03,1073935,8561
2017M04,2055569,14326
2017M05,2747516,18424
2017M06,3232709,20699
2017M07,3595023,22918
2017M08,3586800,22740
2017M09,3208963,20588
2017M10,2651281,17874
2017M11,907482,7353
2017M12,778513,6346
2018M01,686538,6147
2018M02,763474,6280
2018M03,1221537,9507
2018M04,2044866,14497
2018M05,2860511,19098
2018M06,3358248,22146
2018M07,3728203,24292
2018M08,3713465,24190
2018M09,3342216,22275
2018M10,2766985,19614
2018M11,985537,8671
2018M12,941690,8127
