timeperiod,pax,flights
2001M01,24526,543
2001M02,26766,500
2001M03,30048,556
2001M04,28499,540
2001M05,31926,565
2001M06,31949,538
2001M07,29513,504
2001M08,15771,277
2001M09,29378,507
2001M10,30824,561
2001M11,25829,521
2001M12,21834,454
2002M01,22820,509
2002M02,24858,491
2002M03,24649,525
2002M04,27637,598
2002M05,28098,609
2002M06,28445,557
2002M07,26700,546
2002M08,15296,272
2002M09,25964,572
2002M10,29316,592
2002M11,26522,531
2002M12,21583,477
2003M01,21151,477
2003M02,26149,506
2003M03,27235,551
2003M04,24802,541
2003M05,26334,578
2003M06,27469,574
2003M07,26656,528
2003M08,14377,250
2003M09,26053,583
2003M10,28987,599
2003M11,27594,540
2003M12,21449,441
2004M01,21350,506
2004M02,21225,431
2004M03,26988,578
2004M04,25815,571
2004M05,29730,605
2004M06,31213,595
2004M07,27920,582
2004M08,14466,273
2004M09,26932,537
2004M10,28555,599
2004M11,25279,652
2004M12,20928,510
2005M01,15659,376
2005M02,25168,538
2005M03,26129,549
2005M04,30509,627
2005M05,30313,634
2005M06,31538,631
2005M07,28022,553
2005M08,16894,385
2005M09,29081,610
2005M10,30135,633
2005M11,27121,611
2005M12,24367,588
2006M01,23094,599
2006M02,26489,589
2006M03,31424,660
2006M04,26772,556
2006M05,31523,660
2006M06,31719,634
2006M07,25112,514
2006M08,15340,327
2006M09,28860,605
2006M10,35758,716
2006M11,34833,711
2006M12,27697,547
2007M01,27842,659
2007M02,31349,686
2007M03,35965,733
2007M04,37617,724
2007M05,44521,896
2007M06,46007,855
2007M07,43366,742
2007M08,26123,455
2007M09,40540,802
2007M10,44485,847
2007M11,40790,827
2007M12,34179,695
2008M01,34614,778
2008M02,40247,836
2008M03,36552,729
2008M04,41795,866
2008M05,37350,703
2008M06,36000,751
2008M07,33152,701
2008M08,16771,304
2008M09,30152,656
2008M10,32340,763
2008M11,29461,653
2008M12,23427,539
2009M01,19048,559
2009M02,26097,614
2009M03,29536,660
2009M04,26404,543
2009M05,29192,597
2009M06,29777,591
2009M07,29798,543
2009M08,17729,326
2009M09,24804,506
2009M10,28377,574
2009M11,23737,459
2009M12,19408,378
2010M01,18010,396
2010M02,20833,471
2010M03,23519,511
2010M04,20920,502
2010M05,23770,559
2010M06,25783,572
2010M07,24433,529
2010M08,13971,290
2010M09,25072,555
2010M10,27061,624
2010M11,21900,484
2010M12,16427,379
2011M01,15655,420
2011M02,17447,475
2011M03,20547,550
2011M04,16697,507
2011M05,21260,635
2011M06,19826,591
2011M07,18430,479
2011M08,10292,268
2011M09,18053,523
2011M10,19827,567
2011M11,18560,437
2011M12,12410,309
2012M01,12732,365
2012M02,14571,413
2012M03,18175,466
2012M04,12401,382
2012M05,16814,499
2012M06,16207,401
2012M07,16481,376
2012M08,8713,182
2012M09,14595,370
2012M10,14999,408
2012M11,14455,327
2012M12,10812,262
2013M01,10919,277
2013M02,9103,232
2013M03,9523,231
2013M04,13855,323
2013M05,14597,327
2013M06,14231,245
2013M07,14897,239
2013M08,8223,160
2013M09,12969,248
2013M10,11170,221
2013M11,10017,198
2013M12,7837,172
2014M01,8303,189
2014M02,8779,190
2014M03,10233,216
2014M04,9890,218
2014M05,11795,255
2014M06,11886,250
2014M07,11547,233
2014M08,5751,125
2014M09,11206,219
2014M10,11489,252
2014M11,10547,212
2014M12,8252,167
2015M01,8861,194
2015M02,9875,199
2015M03,11373,228
2015M04,11680,237
2015M05,12601,252
2015M06,12768,251
2015M07,12947,226
2015M08,6359,130
2015M09,11749,225
2015M10,12800,236
2015M11,10206,201
2015M12,8608,168
2016M01,0,0
2016M02,0,0
2016M03,0,0
2016M04,0,0
2016M05,0,0
2016M06,0,0
2016M07,0,0
2016M08,0,0
2016M09,0,0
2016M10,0,0
2016M11,0,0
2016M12,0,0
2017M01,0,0
2017M02,0,0
2017M03,0,0
2017M04,0,0
2017M05,0,0
2017M06,0,0
2017M07,0,0
2017M08,0,0
2017M09,0,0
2017M10,0,0
2017M11,0,0
2017M12,0,0
2018M01,13448,131
2018M02,13622,125
2018M03,16064,139
2018M04,17542,162
2018M05,17670,160
2018M06,18430,156
2018M07,17062,140
2018M08,11296,98
2018M09,18072,152
2018M10,18604,159
2018M11,15885,136
2018M12,13313,117
