timeperiod,pax,flights
2001M01,1814,88
2001M02,1954,74
2001M03,2330,90
2001M04,18834,163
2001M05,93895,586
2001M06,99526,559
2001M07,104572,581
2001M08,102784,530
2001M09,96113,567
2001M10,67054,452
2001M11,1826,89
2001M12,1413,73
2002M01,1639,89
2002M02,1913,77
2002M03,2655,88
2002M04,13649,167
2002M05,77987,516
2002M06,96749,548
2002M07,115797,639
2002M08,104635,554
2002M09,102064,577
2002M10,76002,470
2002M11,3036,89
2002M12,1689,76
2003M01,1673,72
2003M02,1946,75
2003M03,1872,74
2003M04,16780,180
2003M05,97059,601
2003M06,125314,695
2003M07,132715,744
2003M08,126635,672
2003M09,120834,717
2003M10,80047,542
2003M11,14237,229
2003M12,18615,220
2004M01,11593,170
2004M02,22739,238
2004M03,26638,277
2004M04,47814,371
2004M05,120310,771
2004M06,153887,864
2004M07,154447,847
2004M08,159458,799
2004M09,142617,799
2004M10,100385,633
2004M11,28692,318
2004M12,26875,254
2005M01,29577,356
2005M02,40388,411
2005M03,47276,428
2005M04,59972,486
2005M05,167214,1023
2005M06,190098,1072
2005M07,202467,1144
2005M08,208296,1115
2005M09,177923,1042
2005M10,129821,868
2005M11,42466,426
2005M12,44023,426
2006M01,34507,364
2006M02,38749,359
2006M03,54249,454
2006M04,71842,498
2006M05,155817,942
2006M06,179878,1013
2006M07,189727,1065
2006M08,187742,1007
2006M09,160592,885
2006M10,120484,740
2006M11,35344,349
2006M12,32938,293
2007M01,27420,243
2007M02,30601,230
2007M03,39088,270
2007M04,60919,385
2007M05,139453,844
2007M06,161075,904
2007M07,179553,979
2007M08,176514,956
2007M09,163720,900
2007M10,114567,689
2007M11,24852,190
2007M12,24707,190
2008M01,19956,184
2008M02,24865,197
2008M03,32985,224
2008M04,62091,425
2008M05,128045,783
2008M06,148099,847
2008M07,161402,916
2008M08,165812,913
2008M09,145937,834
2008M10,86161,559
2008M11,33734,294
2008M12,36940,306
2009M01,46473,561
2009M02,51590,507
2009M03,62191,589
2009M04,110395,821
2009M05,168541,1141
2009M06,196825,1238
2009M07,227202,1386
2009M08,232380,1375
2009M09,202575,1271
2009M10,141411,1010
2009M11,29291,257
2009M12,31160,253
2010M01,30053,294
2010M02,29134,261
2010M03,44263,346
2010M04,67047,498
2010M05,148607,1027
2010M06,173100,1108
2010M07,192707,1185
2010M08,199825,1168
2010M09,158129,992
2010M10,128187,883
2010M11,26840,241
2010M12,26791,236
2011M01,22454,248
2011M02,21919,222
2011M03,41451,370
2011M04,103943,780
2011M05,149784,1041
2011M06,166781,1104
2011M07,193552,1193
2011M08,195540,1158
2011M09,160162,1031
2011M10,114541,822
2011M11,773,6
2011M12,0,0
2012M01,287,2
2012M02,0,0
2012M03,8961,93
2012M04,53841,414
2012M05,90665,627
2012M06,133251,824
2012M07,144885,868
2012M08,143690,835
2012M09,117813,710
2012M10,80434,545
2012M11,20363,183
2012M12,13400,118
2013M01,12091,132
2013M02,13650,120
2013M03,25968,210
2013M04,53250,417
2013M05,99620,669
2013M06,126739,787
2013M07,137866,853
2013M08,141113,830
2013M09,114880,720
2013M10,75727,547
2013M11,14577,127
2013M12,8328,66
2014M01,6990,71
2014M02,7263,64
2014M03,9890,78
2014M04,40132,294
2014M05,92780,628
2014M06,110818,679
2014M07,129671,789
2014M08,135357,768
2014M09,110911,670
2014M10,59601,395
2014M11,9645,72
2014M12,7111,51
2015M01,7648,58
2015M02,7146,48
2015M03,9445,62
2015M04,23978,146
2015M05,69274,398
2015M06,94163,518
2015M07,102379,568
2015M08,106026,576
2015M09,86146,469
2015M10,50863,299
2015M11,7163,48
2015M12,6937,46
2016M01,4991,34
2016M02,5000,32
2016M03,10067,60
2016M04,26430,165
2016M05,76627,434
2016M06,100199,553
2016M07,122824,679
2016M08,115047,628
2016M09,96681,528
2016M10,62656,356
2016M11,9113,60
2016M12,7193,43
2017M01,7373,47
2017M02,6741,42
2017M03,9453,72
2017M04,39563,240
2017M05,99922,583
2017M06,140975,802
2017M07,154879,869
2017M08,148425,839
2017M09,129068,728
2017M10,81263,475
2017M11,7493,50
2017M12,7703,48
2018M01,6191,44
2018M02,6276,40
2018M03,15046,99
2018M04,42074,255
2018M05,106965,634
2018M06,159546,901
2018M07,163426,930
2018M08,155710,875
2018M09,142841,830
2018M10,82282,519
2018M11,3409,26
2018M12,5188,38
