timeperiod,pax,flights
2001M01,19702,446
2001M02,21080,431
2001M03,23049,480
2001M04,22768,490
2001M05,25707,535
2001M06,26655,502
2001M07,24900,502
2001M08,18120,384
2001M09,24269,485
2001M10,24904,533
2001M11,23323,469
2001M12,18938,422
2002M01,19395,468
2002M02,20823,433
2002M03,22070,470
2002M04,24006,525
2002M05,24636,527
2002M06,23140,458
2002M07,24074,510
2002M08,15395,365
2002M09,23624,502
2002M10,24938,535
2002M11,23280,525
2002M12,19386,462
2003M01,19627,470
2003M02,22179,458
2003M03,22132,510
2003M04,22896,518
2003M05,24362,531
2003M06,25518,516
2003M07,24700,513
2003M08,16452,366
2003M09,25067,527
2003M10,26252,541
2003M11,24676,502
2003M12,21941,470
2004M01,18693,458
2004M02,24170,488
2004M03,25244,537
2004M04,23270,519
2004M05,26567,523
2004M06,27525,523
2004M07,25042,524
2004M08,17730,372
2004M09,26172,508
2004M10,25470,514
2004M11,26403,584
2004M12,19961,411
2005M01,20346,463
2005M02,22849,510
2005M03,24457,526
2005M04,25408,548
2005M05,27414,583
2005M06,28565,610
2005M07,22329,550
2005M08,17901,381
2005M09,26619,606
2005M10,27047,640
2005M11,26888,671
2005M12,23072,638
2006M01,23323,677
2006M02,26116,667
2006M03,29630,735
2006M04,26814,637
2006M05,31181,737
2006M06,31858,728
2006M07,27263,622
2006M08,20286,476
2006M09,31222,694
2006M10,32897,719
2006M11,37828,832
2006M12,31859,703
2007M01,31041,764
2007M02,33933,777
2007M03,38783,841
2007M04,34179,651
2007M05,40433,778
2007M06,41221,751
2007M07,40618,694
2007M08,30698,532
2007M09,40675,765
2007M10,41561,821
2007M11,39003,846
2007M12,31928,668
2008M01,31752,750
2008M02,36797,804
2008M03,36689,770
2008M04,37344,825
2008M05,37160,749
2008M06,37608,796
2008M07,35212,746
2008M08,22303,432
2008M09,30195,655
2008M10,32443,741
2008M11,29345,664
2008M12,24629,588
2009M01,21325,608
2009M02,27355,640
2009M03,28793,689
2009M04,27785,610
2009M05,29368,610
2009M06,29845,618
2009M07,28107,580
2009M08,18865,378
2009M09,27197,575
2009M10,26392,598
2009M11,23042,495
2009M12,19218,441
2010M01,17766,452
2010M02,21609,515
2010M03,24520,548
2010M04,23965,581
2010M05,25385,600
2010M06,27541,622
2010M07,25043,553
2010M08,17552,343
2010M09,24878,552
2010M10,26388,621
2010M11,22580,501
2010M12,17778,444
2011M01,16669,448
2011M02,18974,466
2011M03,20628,554
2011M04,19361,573
2011M05,23393,688
2011M06,23662,678
2011M07,20659,555
2011M08,13582,308
2011M09,21590,615
2011M10,20896,643
2011M11,19044,499
2011M12,15265,420
2012M01,16093,470
2012M02,17670,502
2012M03,18968,536
2012M04,22181,553
2012M05,24233,617
2012M06,26021,559
2012M07,24442,494
2012M08,17119,324
2012M09,23143,486
2012M10,24589,524
2012M11,20495,470
2012M12,15833,352
2013M01,15493,332
2013M02,14025,285
2013M03,15925,310
2013M04,21488,368
2013M05,25697,404
2013M06,23857,370
2013M07,22843,339
2013M08,18114,290
2013M09,23677,367
2013M10,23037,375
2013M11,20457,336
2013M12,15998,298
2014M01,15126,293
2014M02,17100,305
2014M03,21328,350
2014M04,17828,317
2014M05,23190,377
2014M06,24030,386
2014M07,22360,336
2014M08,14974,238
2014M09,23408,362
2014M10,25132,400
2014M11,20530,366
2014M12,16564,293
2015M01,14891,322
2015M02,16961,328
2015M03,20943,384
2015M04,21768,361
2015M05,25888,423
2015M06,25040,411
2015M07,25556,396
2015M08,15993,239
2015M09,24147,389
2015M10,24249,414
2015M11,19550,347
2015M12,16727,323
2016M01,15708,326
2016M02,18161,348
2016M03,19880,368
2016M04,22986,397
2016M05,26970,441
2016M06,26809,420
2016M07,25485,381
2016M08,15954,230
2016M09,23984,386
2016M10,25388,384
2016M11,22432,380
2016M12,16553,304
2017M01,17275,337
2017M02,18264,329
2017M03,22025,396
2017M04,22985,372
2017M05,29739,455
2017M06,27890,421
2017M07,27155,397
2017M08,17480,277
2017M09,25298,462
2017M10,28375,540
2017M11,24017,433
2017M12,18873,376
2018M01,20003,389
2018M02,20955,357
2018M03,22977,401
2018M04,26154,416
2018M05,28832,442
2018M06,26514,394
2018M07,28956,408
2018M08,22193,308
2018M09,28379,435
2018M10,28110,438
2018M11,20936,329
2018M12,18603,323
