timeperiod,pax,flights
2001M01,81758,1128
2001M02,75963,1067
2001M03,88504,1198
2001M04,106926,1265
2001M05,94493,1284
2001M06,95660,1221
2001M07,112630,1290
2001M08,126899,1289
2001M09,116924,1283
2001M10,93856,1212
2001M11,80186,1041
2001M12,81629,988
2002M01,72295,999
2002M02,70433,907
2002M03,93948,1029
2002M04,89090,1008
2002M05,87497,1001
2002M06,92834,985
2002M07,116959,1123
2002M08,113319,1042
2002M09,107586,1027
2002M10,94618,1026
2002M11,81217,954
2002M12,84880,943
2003M01,81557,979
2003M02,79438,906
2003M03,88250,981
2003M04,101897,1019
2003M05,95733,984
2003M06,103915,993
2003M07,122047,1102
2003M08,122398,1089
2003M09,120612,1077
2003M10,111173,1069
2003M11,93537,999
2003M12,94519,994
2004M01,92334,1195
2004M02,97427,1097
2004M03,107300,1231
2004M04,119840,1302
2004M05,123395,1318
2004M06,128657,1315
2004M07,140425,1437
2004M08,144092,1494
2004M09,131332,1292
2004M10,127133,1400
2004M11,109623,1391
2004M12,107998,1395
2005M01,97850,1436
2005M02,105889,1474
2005M03,141288,1678
2005M04,131707,1643
2005M05,140058,1694
2005M06,149739,1690
2005M07,206338,1801
2005M08,207164,1718
2005M09,195876,1771
2005M10,173619,1688
2005M11,161862,1714
2005M12,159920,1642
2006M01,115494,1570
2006M02,112271,1465
2006M03,137157,1633
2006M04,159594,1592
2006M05,163050,1659
2006M06,164136,1596
2006M07,176761,1563
2006M08,180513,1559
2006M09,173603,1640
2006M10,168549,1679
2006M11,128417,1467
2006M12,139464,1490
2007M01,121558,1520
2007M02,125489,1368
2007M03,154945,1570
2007M04,152003,1461
2007M05,155529,1577
2007M06,161055,1538
2007M07,189202,1581
2007M08,188023,1476
2007M09,180359,1565
2007M10,172907,1664
2007M11,145172,1545
2007M12,145135,1564
2008M01,128929,1550
2008M02,128922,1466
2008M03,165035,1584
2008M04,143568,1465
2008M05,154792,1451
2008M06,159500,1482
2008M07,171575,1454
2008M08,172147,1362
2008M09,155113,1427
2008M10,138942,1391
2008M11,121300,1201
2008M12,132442,1280
2009M01,118801,1289
2009M02,127160,1286
2009M03,146404,1420
2009M04,156351,1340
2009M05,148340,1301
2009M06,160501,1314
2009M07,197481,1487
2009M08,207342,1574
2009M09,171303,1396
2009M10,157839,1357
2009M11,130802,1171
2009M12,137640,1204
2010M01,119207,1183
2010M02,129425,1153
2010M03,159982,1324
2010M04,160762,1355
2010M05,162333,1317
2010M06,177873,1412
2010M07,210999,1594
2010M08,222958,1626
2010M09,198684,1517
2010M10,198604,1541
2010M11,173448,1503
2010M12,164745,1455
2011M01,143438,1427
2011M02,141972,1355
2011M03,185421,1615
2011M04,218329,1712
2011M05,204585,1640
2011M06,210488,1624
2011M07,244553,1750
2011M08,250645,1772
2011M09,227708,1684
2011M10,210321,1563
2011M11,167570,1343
2011M12,162364,1309
2012M01,144016,1268
2012M02,148453,1158
2012M03,169928,1315
2012M04,184569,1384
2012M05,175455,1367
2012M06,190463,1446
2012M07,207830,1546
2012M08,223585,1613
2012M09,194615,1451
2012M10,172080,1333
2012M11,132784,1163
2012M12,145893,1173
2013M01,136073,1210
2013M02,133164,1116
2013M03,162794,1278
2013M04,175015,1327
2013M05,174500,1290
2013M06,174101,1255
2013M07,198759,1398
2013M08,209309,1410
2013M09,178973,1274
2013M10,167624,1265
2013M11,131535,1032
2013M12,129654,1059
2014M01,113802,1062
2014M02,107181,935
2014M03,134461,1109
2014M04,181399,1433
2014M05,177852,1438
2014M06,187111,1420
2014M07,197305,1416
2014M08,207529,1475
2014M09,187803,1362
2014M10,182491,1352
2014M11,136842,1080
2014M12,138031,1092
2015M01,121629,1052
2015M02,113992,923
2015M03,145481,1134
2015M04,186975,1412
2015M05,186340,1377
2015M06,191578,1405
2015M07,230035,1631
2015M08,256229,1808
2015M09,218216,1532
2015M10,200597,1446
2015M11,147314,1150
2015M12,162565,1264
2016M01,146649,1190
2016M02,146556,1120
2016M03,187381,1383
2016M04,199734,1516
2016M05,221645,1608
2016M06,219518,1560
2016M07,246231,1641
2016M08,260295,1769
2016M09,231982,1558
2016M10,223483,1535
2016M11,167745,1219
2016M12,173491,1255
2017M01,151934,1123
2017M02,141633,973
2017M03,184090,1252
2017M04,203754,1333
2017M05,202025,1316
2017M06,209045,1332
2017M07,227304,1410
2017M08,226374,1455
2017M09,204927,1273
2017M10,199108,1280
2017M11,165484,1080
2017M12,182812,1218
2018M01,170170,1281
2018M02,155938,1135
2018M03,193440,1346
2018M04,205182,1419
2018M05,218623,1492
2018M06,231870,1558
2018M07,233118,1524
2018M08,231880,1507
2018M09,228088,1519
2018M10,222267,1519
2018M11,178890,1247
2018M12,189657,1329
