timeperiod,pax,flights
2001M01,145519,2902
2001M02,151733,2743
2001M03,194964,3097
2001M04,190610,2952
2001M05,186353,3307
2001M06,188227,3227
2001M07,200482,3383
2001M08,213992,3176
2001M09,196689,3371
2001M10,182666,3343
2001M11,145093,2385
2001M12,91416,1762
2002M01,133943,2464
2002M02,139954,2291
2002M03,170036,2519
2002M04,180708,2883
2002M05,169395,2923
2002M06,171464,2688
2002M07,195979,2913
2002M08,208920,2573
2002M09,193446,2763
2002M10,185604,2859
2002M11,151856,2461
2002M12,138721,2435
2003M01,141778,2416
2003M02,147035,2336
2003M03,186981,2628
2003M04,194759,2857
2003M05,184567,2983
2003M06,204005,2959
2003M07,219509,3034
2003M08,240634,2791
2003M09,205467,2969
2003M10,209471,3000
2003M11,181987,2954
2003M12,169260,2825
2004M01,166383,2958
2004M02,178905,2862
2004M03,230627,3287
2004M04,227396,3162
2004M05,221662,3471
2004M06,230030,3405
2004M07,257023,3322
2004M08,275644,3155
2004M09,243876,3479
2004M10,243577,3619
2004M11,200300,3493
2004M12,194501,3210
2005M01,213133,3699
2005M02,248180,3889
2005M03,329592,4387
2005M04,340920,4735
2005M05,362325,4846
2005M06,380486,4801
2005M07,455820,4944
2005M08,503837,4852
2005M09,441374,4947
2005M10,400722,4737
2005M11,339195,4305
2005M12,314827,4237
2006M01,278763,4464
2006M02,287880,4236
2006M03,357025,4710
2006M04,388820,4640
2006M05,398370,4976
2006M06,404624,4876
2006M07,434848,4925
2006M08,449011,4896
2006M09,396788,4606
2006M10,386914,4791
2006M11,322622,5035
2006M12,316050,4569
2007M01,306950,4535
2007M02,334654,4340
2007M03,400016,4758
2007M04,414127,4565
2007M05,406566,4871
2007M06,425035,4843
2007M07,442347,4810
2007M08,458328,4564
2007M09,407884,4706
2007M10,404867,4812
2007M11,347524,4399
2007M12,314968,4165
2008M01,304146,4417
2008M02,343262,4361
2008M03,406601,4604
2008M04,372739,4711
2008M05,367567,4557
2008M06,372415,4692
2008M07,388853,4731
2008M08,404169,4128
2008M09,359633,4533
2008M10,333701,4615
2008M11,263352,3834
2008M12,256289,3677
2009M01,241793,3905
2009M02,274860,3880
2009M03,335876,4341
2009M04,367350,4443
2009M05,353188,4453
2009M06,368708,4411
2009M07,419945,4502
2009M08,444168,4221
2009M09,375332,4313
2009M10,356480,4300
2009M11,290818,3623
2009M12,284899,3505
2010M01,255208,3279
2010M02,281704,3439
2010M03,347073,3935
2010M04,340504,4058
2010M05,362967,4339
2010M06,381434,4374
2010M07,420827,4309
2010M08,434209,3847
2010M09,385427,4111
2010M10,369189,4173
2010M11,331170,4040
2010M12,280561,3435
2011M01,280251,3731
2011M02,291022,3679
2011M03,368609,4125
2011M04,363404,3584
2011M05,354953,3779
2011M06,365780,3796
2011M07,416705,3935
2011M08,428754,3611
2011M09,379290,3698
2011M10,350859,3596
2011M11,279011,3024
2011M12,275577,2978
2012M01,250400,3101
2012M02,260446,2957
2012M03,323941,3231
2012M04,352132,3256
2012M05,338471,3249
2012M06,349206,3224
2012M07,412784,3527
2012M08,425279,3505
2012M09,360194,3220
2012M10,326874,3147
2012M11,264516,2828
2012M12,260439,2779
2013M01,242180,2755
2013M02,241613,2514
2013M03,312666,2929
2013M04,338188,3153
2013M05,341864,3239
2013M06,348993,3117
2013M07,398564,3296
2013M08,405814,3292
2013M09,361751,3156
2013M10,340550,3125
2013M11,270098,2636
2013M12,256306,2532
2014M01,232524,2528
2014M02,236145,2256
2014M03,297054,2672
2014M04,355725,3153
2014M05,333982,3132
2014M06,362501,3160
2014M07,410031,3387
2014M08,432870,3425
2014M09,372540,3224
2014M10,361109,3258
2014M11,289271,2742
2014M12,274038,2636
2015M01,219897,2202
2015M02,224496,2082
2015M03,290724,2454
2015M04,329153,2792
2015M05,327405,2801
2015M06,349887,2834
2015M07,401717,3086
2015M08,421125,3076
2015M09,355312,2772
2015M10,341271,2768
2015M11,265177,2320
2015M12,251934,2270
2016M01,248389,2417
2016M02,262097,2353
2016M03,325004,2727
2016M04,345323,2924
2016M05,382790,3210
2016M06,385207,3117
2016M07,446163,3435
2016M08,471727,3475
2016M09,411423,3254
2016M10,400197,3202
2016M11,301976,2517
2016M12,291858,2495
2017M01,278204,2581
2017M02,283674,2465
2017M03,359291,2959
2017M04,409683,3285
2017M05,412887,3466
2017M06,430006,3458
2017M07,483944,3734
2017M08,495894,3697
2017M09,451707,3561
2017M10,449611,3589
2017M11,360664,3026
2017M12,340428,2949
2018M01,344146,3064
2018M02,351599,2968
2018M03,447439,3545
2018M04,495192,3973
2018M05,505601,4125
2018M06,509803,4051
2018M07,572609,4304
2018M08,577852,4144
2018M09,528551,4121
2018M10,520316,4197
2018M11,422373,3557
2018M12,403931,3498
