timeperiod,pax,flights
2001M01,10099,276
2001M02,10248,269
2001M03,11838,294
2001M04,12786,304
2001M05,11259,295
2001M06,12071,280
2001M07,12766,295
2001M08,11231,261
2001M09,12642,285
2001M10,12070,298
2001M11,11773,275
2001M12,7573,224
2002M01,8445,254
2002M02,9652,258
2002M03,10333,276
2002M04,12047,288
2002M05,12675,299
2002M06,12667,276
2002M07,13469,295
2002M08,12242,256
2002M09,13791,291
2002M10,12501,287
2002M11,11136,273
2002M12,9210,294
2003M01,9885,274
2003M02,10117,267
2003M03,13070,305
2003M04,14504,311
2003M05,10558,296
2003M06,13721,313
2003M07,7759,197
2003M08,11842,249
2003M09,14602,330
2003M10,13295,323
2003M11,18592,373
2003M12,18482,358
2004M01,20615,431
2004M02,28436,503
2004M03,34177,569
2004M04,32888,536
2004M05,33183,562
2004M06,33927,571
2004M07,35726,584
2004M08,32949,483
2004M09,34820,580
2004M10,35199,608
2004M11,25547,489
2004M12,24056,430
2005M01,16462,363
2005M02,28797,538
2005M03,33766,571
2005M04,33604,585
2005M05,34433,605
2005M06,34567,586
2005M07,37738,571
2005M08,38458,458
2005M09,38840,589
2005M10,37465,596
2005M11,33151,610
2005M12,30844,540
2006M01,25489,508
2006M02,28024,556
2006M03,35452,645
2006M04,35192,567
2006M05,35649,664
2006M06,36077,649
2006M07,40648,575
2006M08,36826,467
2006M09,37823,601
2006M10,37231,653
2006M11,29536,651
2006M12,23805,475
2007M01,22710,559
2007M02,31801,649
2007M03,30566,715
2007M04,37318,664
2007M05,37350,745
2007M06,41091,752
2007M07,47115,694
2007M08,44492,511
2007M09,42195,723
2007M10,42499,795
2007M11,27170,645
2007M12,23351,523
2008M01,21846,594
2008M02,24418,619
2008M03,31626,640
2008M04,38732,796
2008M05,36098,736
2008M06,38490,768
2008M07,42854,709
2008M08,43433,512
2008M09,41658,723
2008M10,34909,680
2008M11,21227,470
2008M12,19805,418
2009M01,14862,300
2009M02,17434,313
2009M03,20002,350
2009M04,24848,390
2009M05,23207,402
2009M06,24938,399
2009M07,34610,414
2009M08,38767,376
2009M09,28014,358
2009M10,28262,371
2009M11,22106,316
2009M12,18573,275
2010M01,16156,293
2010M02,18110,299
2010M03,23830,363
2010M04,25083,356
2010M05,25095,355
2010M06,26655,375
2010M07,33832,385
2010M08,34276,344
2010M09,30112,370
2010M10,30942,397
2010M11,17884,306
2010M12,16062,276
2011M01,17837,306
2011M02,23766,345
2011M03,30150,395
2011M04,34640,412
2011M05,33438,419
2011M06,31728,348
2011M07,38250,368
2011M08,39608,346
2011M09,34195,356
2011M10,35297,372
2011M11,25880,314
2011M12,24257,290
2012M01,21720,309
2012M02,23969,315
2012M03,27609,315
2012M04,31486,265
2012M05,28420,253
2012M06,25708,206
2012M07,31227,236
2012M08,32362,222
2012M09,27749,220
2012M10,25190,218
2012M11,16897,160
2012M12,19556,175
2013M01,9606,107
2013M02,10588,105
2013M03,13288,130
2013M04,16450,157
2013M05,17983,166
2013M06,15528,147
2013M07,17659,147
2013M08,17525,133
2013M09,16601,156
2013M10,14955,146
2013M11,12334,128
2013M12,12258,124
2014M01,9854,120
2014M02,10706,108
2014M03,12982,130
2014M04,13117,120
2014M05,14255,128
2014M06,13935,126
2014M07,14853,115
2014M08,14408,106
2014M09,13956,123
2014M10,14058,124
2014M11,11457,108
2014M12,10277,100
2015M01,9072,106
2015M02,9996,102
2015M03,12426,114
2015M04,14289,128
2015M05,16133,128
2015M06,15456,126
2015M07,16653,121
2015M08,15637,96
2015M09,15350,122
2015M10,14161,89
2015M11,11483,71
2015M12,9483,58
2016M01,9550,66
2016M02,9775,61
2016M03,15334,97
2016M04,16209,103
2016M05,16368,97
2016M06,15266,92
2016M07,15918,94
2016M08,15558,94
2016M09,14381,90
2016M10,14249,90
2016M11,11026,68
2016M12,9896,62
2017M01,9889,66
2017M02,10483,62
2017M03,13485,84
2017M04,16522,102
2017M05,14936,98
2017M06,15143,95
2017M07,16574,98
2017M08,15022,90
2017M09,14299,92
2017M10,13900,92
2017M11,10706,66
2017M12,11840,74
2018M01,11606,82
2018M02,11635,74
2018M03,15806,102
2018M04,18581,118
2018M05,17811,118
2018M06,16249,102
2018M07,17721,108
2018M08,18769,116
2018M09,17104,113
2018M10,17321,110
2018M11,14742,92
2018M12,15043,94
