timeperiod,pax,flights
2001M01,8887,206
2001M02,3437,109
2001M03,9461,233
2001M04,8737,210
2001M05,7462,226
2001M06,6918,208
2001M07,7619,223
2001M08,7172,192
2001M09,8470,220
2001M10,7937,226
2001M11,6380,206
2001M12,5535,196
2002M01,5012,212
2002M02,6966,203
2002M03,7033,204
2002M04,7166,200
2002M05,5065,193
2002M06,7030,193
2002M07,7093,176
2002M08,6024,132
2002M09,6184,164
2002M10,6037,170
2002M11,6501,167
2002M12,5114,149
2003M01,6180,163
2003M02,6129,162
2003M03,6530,159
2003M04,6550,151
2003M05,4979,157
2003M06,6990,160
2003M07,5743,138
2003M08,5283,34
2003M09,6024,155
2003M10,6081,167
2003M11,6137,154
2003M12,6080,148
2004M01,4194,135
2004M02,6965,197
2004M03,5806,171
2004M04,5850,161
2004M05,5733,164
2004M06,5751,163
2004M07,6499,171
2004M08,6709,50
2004M09,4066,137
2004M10,6426,172
2004M11,6967,194
2004M12,4529,106
2005M01,5468,156
2005M02,3887,142
2005M03,4157,134
2005M04,4845,153
2005M05,5481,167
2005M06,6282,170
2005M07,3890,113
2005M08,3328,22
2005M09,5470,153
2005M10,6454,166
2005M11,6769,169
2005M12,4408,143
2006M01,2528,92
2006M02,6215,122
2006M03,10550,170
2006M04,11158,140
2006M05,10723,163
2006M06,11800,152
2006M07,12112,124
2006M08,9843,60
2006M09,10804,152
2006M10,10682,158
2006M11,7186,131
2006M12,7077,80
2007M01,6576,124
2007M02,10437,151
2007M03,11240,165
2007M04,11440,145
2007M05,11345,177
2007M06,12888,173
2007M07,14069,140
2007M08,12866,80
2007M09,9361,140
2007M10,10047,161
2007M11,2327,104
2007M12,1997,72
2008M01,0,0
2008M02,0,0
2008M03,0,0
2008M04,0,0
2008M05,0,0
2008M06,0,0
2008M07,0,0
2008M08,0,0
2008M09,0,0
2008M10,0,0
2008M11,0,0
2008M12,0,0
2009M01,0,0
2009M02,0,0
2009M03,0,0
2009M04,0,0
2009M05,0,0
2009M06,0,0
2009M07,0,0
2009M08,0,0
2009M09,0,0
2009M10,0,0
2009M11,0,0
2009M12,0,0
2010M01,0,0
2010M02,0,0
2010M03,0,0
2010M04,0,0
2010M05,0,0
2010M06,0,0
2010M07,0,0
2010M08,0,0
2010M09,0,0
2010M10,0,0
2010M11,0,0
2010M12,0,0
2011M01,0,0
2011M02,0,0
2011M03,0,0
2011M04,0,0
2011M05,0,0
2011M06,0,0
2011M07,0,0
2011M08,0,0
2011M09,0,0
2011M10,0,0
2011M11,0,0
2011M12,0,0
2012M01,0,0
2012M02,0,0
2012M03,0,0
2012M04,0,0
2012M05,0,0
2012M06,0,0
2012M07,0,0
2012M08,0,0
2012M09,0,0
2012M10,0,0
2012M11,0,0
2012M12,0,0
2013M01,0,0
2013M02,0,0
2013M03,0,0
2013M04,0,0
2013M05,0,0
2013M06,0,0
2013M07,0,0
2013M08,0,0
2013M09,0,0
2013M10,0,0
2013M11,0,0
2013M12,0,0
2014M01,0,0
2014M02,0,0
2014M03,0,0
2014M04,0,0
2014M05,0,0
2014M06,0,0
2014M07,0,0
2014M08,0,0
2014M09,0,0
2014M10,0,0
2014M11,0,0
2014M12,0,0
2015M01,0,0
2015M02,0,0
2015M03,0,0
2015M04,0,0
2015M05,0,0
2015M06,0,0
2015M07,0,0
2015M08,0,0
2015M09,0,0
2015M10,0,0
2015M11,0,0
2015M12,0,0
2016M01,0,0
2016M02,0,0
2016M03,0,0
2016M04,0,0
2016M05,0,0
2016M06,0,0
2016M07,0,0
2016M08,0,0
2016M09,0,0
2016M10,0,0
2016M11,0,0
2016M12,0,0
2017M01,0,0
2017M02,0,0
2017M03,820,6
2017M04,5993,36
2017M05,5331,34
2017M06,5719,34
2017M07,6349,36
2017M08,6329,36
2017M09,5846,34
2017M10,6129,36
2017M11,5315,32
2017M12,5876,36
2018M01,10819,74
2018M02,10445,64
2018M03,11865,75
2018M04,8847,54
2018M05,8638,54
2018M06,8331,52
2018M07,10830,64
2018M08,12298,72
2018M09,11580,71
2018M10,11159,68
2018M11,7969,48
2018M12,9749,61
