timeperiod,pax,flights
2001M01,48298,603
2001M02,48307,591
2001M03,53319,671
2001M04,61470,774
2001M05,61010,845
2001M06,66985,821
2001M07,71748,838
2001M08,77230,834
2001M09,74501,820
2001M10,66419,783
2001M11,59648,754
2001M12,57722,684
2002M01,50832,718
2002M02,51383,709
2002M03,60976,739
2002M04,64085,848
2002M05,61517,847
2002M06,62805,729
2002M07,63058,684
2002M08,66845,685
2002M09,67535,671
2002M10,64394,709
2002M11,53681,653
2002M12,53929,661
2003M01,57558,656
2003M02,54371,586
2003M03,58922,650
2003M04,64299,673
2003M05,64435,690
2003M06,70897,673
2003M07,76334,676
2003M08,75310,650
2003M09,77880,681
2003M10,68261,657
2003M11,59822,658
2003M12,61109,650
2004M01,53266,649
2004M02,63152,688
2004M03,68007,787
2004M04,66436,729
2004M05,72956,729
2004M06,81291,823
2004M07,80235,837
2004M08,77617,797
2004M09,81321,826
2004M10,74291,807
2004M11,64851,833
2004M12,61899,826
2005M01,64899,1000
2005M02,69655,1031
2005M03,84645,1165
2005M04,83213,1110
2005M05,89915,1117
2005M06,93599,1075
2005M07,103507,1067
2005M08,101425,1060
2005M09,100961,1112
2005M10,102718,1204
2005M11,96208,1235
2005M12,87039,1153
2006M01,78689,1097
2006M02,77818,1051
2006M03,91910,1180
2006M04,95297,1136
2006M05,101703,1221
2006M06,104091,1188
2006M07,100006,1098
2006M08,102051,1066
2006M09,98997,1111
2006M10,101717,1192
2006M11,100340,1248
2006M12,96619,1186
2007M01,92024,1248
2007M02,92313,1130
2007M03,108176,1272
2007M04,115569,1291
2007M05,123058,1398
2007M06,128200,1344
2007M07,128907,1270
2007M08,119517,1084
2007M09,122336,1186
2007M10,126899,1323
2007M11,108201,1245
2007M12,101931,1128
2008M01,96528,1152
2008M02,103082,1205
2008M03,117675,1228
2008M04,112275,1214
2008M05,117091,1228
2008M06,112492,1166
2008M07,112402,1142
2008M08,97921,943
2008M09,99374,1111
2008M10,103318,1153
2008M11,83153,1011
2008M12,80440,963
2009M01,64968,843
2009M02,74327,895
2009M03,87720,996
2009M04,89856,953
2009M05,93978,1014
2009M06,97107,1011
2009M07,104425,993
2009M08,98674,929
2009M09,96908,961
2009M10,89089,1008
2009M11,81968,947
2009M12,80982,921
2010M01,71691,866
2010M02,72035,861
2010M03,84313,1001
2010M04,80081,942
2010M05,86821,955
2010M06,92970,989
2010M07,102146,1034
2010M08,101057,941
2010M09,95938,969
2010M10,95703,1024
2010M11,82129,1011
2010M12,75153,898
2011M01,68596,895
2011M02,66662,885
2011M03,77713,964
2011M04,78080,907
2011M05,85625,966
2011M06,81369,908
2011M07,84582,847
2011M08,82280,796
2011M09,74813,848
2011M10,71465,891
2011M11,64952,835
2011M12,64102,820
2012M01,53869,726
2012M02,52200,673
2012M03,57003,715
2012M04,58463,715
2012M05,66346,762
2012M06,74891,713
2012M07,75542,678
2012M08,72878,666
2012M09,68762,662
2012M10,65529,710
2012M11,52737,610
2012M12,51751,651
2013M01,48066,637
2013M02,43861,536
2013M03,50512,594
2013M04,53067,630
2013M05,60990,661
2013M06,57585,630
2013M07,62200,681
2013M08,61136,675
2013M09,58883,643
2013M10,58122,637
2013M11,48466,602
2013M12,47513,601
2014M01,42261,554
2014M02,42808,514
2014M03,52870,573
2014M04,51934,564
2014M05,57122,592
2014M06,57609,575
2014M07,59718,572
2014M08,57888,560
2014M09,58562,582
2014M10,57450,558
2014M11,49543,505
2014M12,48139,512
2015M01,42611,482
2015M02,43925,470
2015M03,50264,522
2015M04,51780,548
2015M05,54554,562
2015M06,62147,578
2015M07,68985,597
2015M08,63069,554
2015M09,61479,558
2015M10,63112,572
2015M11,52348,479
2015M12,52182,487
2016M01,55733,540
2016M02,56914,525
2016M03,66666,581
2016M04,71580,635
2016M05,79896,661
2016M06,80731,644
2016M07,81646,628
2016M08,77058,617
2016M09,80356,652
2016M10,77759,626
2016M11,65854,570
2016M12,59694,545
2017M01,59358,591
2017M02,57335,547
2017M03,70850,661
2017M04,86326,715
2017M05,94947,791
2017M06,95764,753
2017M07,98580,756
2017M08,92504,736
2017M09,94710,764
2017M10,94788,779
2017M11,76901,681
2017M12,70295,642
2018M01,66886,621
2018M02,65213,591
2018M03,79157,702
2018M04,87070,763
2018M05,89371,767
2018M06,80341,646
2018M07,99757,786
2018M08,98183,755
2018M09,95774,764
2018M10,96761,771
2018M11,77618,612
2018M12,75121,588
