timeperiod,pax,flights
2001M01,16670,425
2001M02,17987,391
2001M03,19964,451
2001M04,19987,480
2001M05,21221,468
2001M06,24552,566
2001M07,26805,611
2001M08,24028,591
2001M09,26461,584
2001M10,23838,614
2001M11,21354,579
2001M12,19298,546
2002M01,17519,586
2002M02,19367,559
2002M03,20764,590
2002M04,21930,619
2002M05,23474,632
2002M06,23176,625
2002M07,25407,670
2002M08,20440,652
2002M09,22468,630
2002M10,21816,646
2002M11,19592,588
2002M12,17918,560
2003M01,17166,558
2003M02,17942,541
2003M03,19444,591
2003M04,18692,569
2003M05,20975,601
2003M06,24355,602
2003M07,23474,603
2003M08,18283,562
2003M09,21893,595
2003M10,21327,601
2003M11,19275,519
2003M12,17418,496
2004M01,15397,513
2004M02,19207,602
2004M03,21595,662
2004M04,19518,643
2004M05,23601,647
2004M06,26268,673
2004M07,24817,666
2004M08,18985,532
2004M09,29378,672
2004M10,40415,775
2004M11,39412,772
2004M12,35859,592
2005M01,40716,708
2005M02,41075,742
2005M03,47197,774
2005M04,47193,832
2005M05,49169,856
2005M06,52533,841
2005M07,56169,809
2005M08,50314,721
2005M09,51974,770
2005M10,49269,783
2005M11,42349,752
2005M12,40952,670
2006M01,38881,791
2006M02,39241,763
2006M03,45718,850
2006M04,47330,761
2006M05,50206,833
2006M06,52639,808
2006M07,54255,762
2006M08,49025,680
2006M09,53643,777
2006M10,52155,816
2006M11,42475,742
2006M12,41259,642
2007M01,42051,845
2007M02,44219,790
2007M03,52005,891
2007M04,55255,893
2007M05,56081,981
2007M06,61651,946
2007M07,64218,903
2007M08,58015,779
2007M09,62974,1003
2007M10,62806,1059
2007M11,59133,1094
2007M12,57017,961
2008M01,47135,955
2008M02,55663,990
2008M03,58468,983
2008M04,64171,1144
2008M05,65699,1022
2008M06,71541,1064
2008M07,76168,1021
2008M08,65917,719
2008M09,67708,995
2008M10,65180,1056
2008M11,54874,955
2008M12,56234,872
2009M01,53599,1051
2009M02,60464,1029
2009M03,68307,1148
2009M04,74406,1069
2009M05,75377,1036
2009M06,79971,1018
2009M07,89108,1027
2009M08,87788,896
2009M09,81876,988
2009M10,75130,1026
2009M11,61818,950
2009M12,59859,850
2010M01,52035,884
2010M02,54869,885
2010M03,67158,991
2010M04,62650,884
2010M05,69070,959
2010M06,77550,989
2010M07,87731,996
2010M08,85446,911
2010M09,85230,999
2010M10,87288,1087
2010M11,62849,943
2010M12,57494,831
2011M01,56594,922
2011M02,60583,905
2011M03,77662,1072
2011M04,95443,1076
2011M05,99192,1221
2011M06,103414,1148
2011M07,114377,1126
2011M08,109806,1016
2011M09,107654,1126
2011M10,106051,1183
2011M11,77998,963
2011M12,80136,960
2012M01,69551,983
2012M02,71862,921
2012M03,80117,959
2012M04,99382,1010
2012M05,95689,1035
2012M06,105200,971
2012M07,120809,1034
2012M08,117500,1005
2012M09,100066,957
2012M10,91432,989
2012M11,63102,778
2012M12,65097,743
2013M01,54502,756
2013M02,51120,673
2013M03,65856,777
2013M04,85178,862
2013M05,87129,894
2013M06,92497,874
2013M07,102271,871
2013M08,97497,793
2013M09,92622,868
2013M10,88306,865
2013M11,51869,510
2013M12,46155,479
2014M01,34432,425
2014M02,30978,345
2014M03,37537,412
2014M04,71852,665
2014M05,69559,696
2014M06,80907,747
2014M07,91453,744
2014M08,87522,664
2014M09,81818,725
2014M10,74564,703
2014M11,46956,493
2014M12,42148,436
2015M01,38817,433
2015M02,40666,456
2015M03,49181,524
2015M04,76694,730
2015M05,77797,754
2015M06,81053,753
2015M07,95518,796
2015M08,90908,680
2015M09,86658,732
2015M10,79544,713
2015M11,47620,513
2015M12,42590,455
2016M01,41229,456
2016M02,45060,483
2016M03,50225,513
2016M04,61835,611
2016M05,67442,649
2016M06,69739,644
2016M07,74445,629
2016M08,69420,533
2016M09,68469,617
2016M10,60242,554
2016M11,47092,491
2016M12,45352,448
2017M01,47723,510
2017M02,47836,477
2017M03,58412,597
2017M04,76695,652
2017M05,80303,746
2017M06,84949,735
2017M07,91801,749
2017M08,90332,653
2017M09,80745,703
2017M10,82036,734
2017M11,67586,605
2017M12,65794,589
2018M01,64704,613
2018M02,63091,567
2018M03,76381,661
2018M04,89809,660
2018M05,93782,715
2018M06,95302,695
2018M07,106207,755
2018M08,100825,679
2018M09,98742,707
2018M10,97876,719
2018M11,80746,613
2018M12,79805,582
