timeperiod,pax,flights
2001M01,13416,351
2001M02,13071,308
2001M03,15525,334
2001M04,16367,311
2001M05,13621,298
2001M06,14719,299
2001M07,16579,331
2001M08,15940,294
2001M09,16250,312
2001M10,14925,310
2001M11,12022,246
2001M12,10457,223
2002M01,13677,340
2002M02,14490,320
2002M03,17739,353
2002M04,16393,401
2002M05,16175,401
2002M06,16225,371
2002M07,19122,416
2002M08,19893,343
2002M09,20438,404
2002M10,16823,409
2002M11,15303,414
2002M12,13438,352
2003M01,11524,275
2003M02,11943,264
2003M03,13431,286
2003M04,13411,259
2003M05,12397,258
2003M06,14620,267
2003M07,18560,283
2003M08,20711,263
2003M09,19216,302
2003M10,12335,263
2003M11,7850,220
2003M12,8391,196
2004M01,6298,147
2004M02,6935,114
2004M03,9931,150
2004M04,11654,161
2004M05,7245,138
2004M06,10699,153
2004M07,13939,172
2004M08,19516,154
2004M09,14471,168
2004M10,10502,153
2004M11,6439,89
2004M12,6421,74
2005M01,10774,86
2005M02,13255,97
2005M03,26848,188
2005M04,23353,164
2005M05,23314,170
2005M06,24890,175
2005M07,44959,230
2005M08,52647,257
2005M09,39709,215
2005M10,31854,175
2005M11,25888,168
2005M12,25459,162
2006M01,19065,186
2006M02,20524,183
2006M03,26601,228
2006M04,28557,203
2006M05,24992,242
2006M06,26432,240
2006M07,37939,292
2006M08,39284,296
2006M09,33310,280
2006M10,29908,274
2006M11,21560,236
2006M12,22069,219
2007M01,20829,246
2007M02,31491,247
2007M03,19224,293
2007M04,33412,299
2007M05,26751,292
2007M06,32249,301
2007M07,44549,370
2007M08,47686,385
2007M09,36476,332
2007M10,33522,318
2007M11,26437,278
2007M12,25160,256
2008M01,24583,313
2008M02,26781,299
2008M03,41087,417
2008M04,41941,446
2008M05,40525,443
2008M06,45411,447
2008M07,59694,509
2008M08,61642,510
2008M09,49125,474
2008M10,40875,443
2008M11,33524,392
2008M12,33495,358
2009M01,25040,228
2009M02,29430,230
2009M03,33814,255
2009M04,35816,244
2009M05,32010,240
2009M06,36299,258
2009M07,51887,334
2009M08,53378,352
2009M09,40745,295
2009M10,35106,260
2009M11,30575,230
2009M12,27359,207
2010M01,25645,289
2010M02,27622,282
2010M03,34907,320
2010M04,31616,286
2010M05,35939,345
2010M06,38679,341
2010M07,50040,395
2010M08,52402,407
2010M09,40043,365
2010M10,39399,361
2010M11,36680,360
2010M12,31218,314
2011M01,39864,365
2011M02,45626,373
2011M03,57199,428
2011M04,65417,455
2011M05,60721,478
2011M06,61858,460
2011M07,74324,496
2011M08,76410,518
2011M09,62869,467
2011M10,62333,464
2011M11,46391,359
2011M12,47598,358
2012M01,28952,256
2012M02,31620,256
2012M03,36090,272
2012M04,40958,287
2012M05,35139,267
2012M06,39834,296
2012M07,46100,329
2012M08,47569,341
2012M09,41201,314
2012M10,36371,289
2012M11,28382,237
2012M12,34351,270
2013M01,30038,256
2013M02,27263,216
2013M03,34813,252
2013M04,35360,257
2013M05,31597,246
2013M06,35374,273
2013M07,42710,286
2013M08,45694,296
2013M09,35920,262
2013M10,31884,225
2013M11,29760,222
2013M12,28096,198
2014M01,24794,214
2014M02,25892,194
2014M03,30114,218
2014M04,30352,200
2014M05,25947,187
2014M06,30147,219
2014M07,42573,284
2014M08,40303,264
2014M09,35175,241
2014M10,31962,214
2014M11,25822,185
2014M12,28247,197
2015M01,22924,180
2015M02,24174,172
2015M03,29862,198
2015M04,31497,202
2015M05,29282,204
2015M06,30856,209
2015M07,37850,240
2015M08,38792,248
2015M09,33976,220
2015M10,30383,196
2015M11,22862,162
2015M12,27664,205
2016M01,24258,181
2016M02,23915,161
2016M03,28066,186
2016M04,30636,206
2016M05,29218,190
2016M06,29068,194
2016M07,34880,224
2016M08,34826,219
2016M09,30734,200
2016M10,29759,194
2016M11,23134,158
2016M12,26515,180
2017M01,24130,172
2017M02,20989,138
2017M03,32797,216
2017M04,37800,237
2017M05,32093,207
2017M06,35401,245
2017M07,43278,282
2017M08,43792,278
2017M09,38451,260
2017M10,33349,222
2017M11,24380,174
2017M12,26253,186
2018M01,25631,196
2018M02,24069,176
2018M03,30316,212
2018M04,35627,232
2018M05,32047,222
2018M06,41116,300
2018M07,50766,337
2018M08,53370,343
2018M09,45329,315
2018M10,35024,242
2018M11,26107,176
2018M12,28953,192
