timeperiod,pax,flights
2001M01,135471,1992
2001M02,140005,1815
2001M03,182375,2062
2001M04,198834,2031
2001M05,202749,2098
2001M06,182996,2011
2001M07,178418,2053
2001M08,193018,1968
2001M09,201302,1982
2001M10,180014,1932
2001M11,138029,1618
2001M12,132014,1543
2002M01,123208,1634
2002M02,130965,1539
2002M03,165939,1742
2002M04,177299,1720
2002M05,177493,1742
2002M06,154956,1643
2002M07,165750,1814
2002M08,174694,1694
2002M09,186993,1793
2002M10,165397,1774
2002M11,139544,1660
2002M12,140413,1651
2003M01,131120,1646
2003M02,143709,1563
2003M03,165310,1741
2003M04,185187,1859
2003M05,217959,2001
2003M06,175856,1794
2003M07,188036,1967
2003M08,197397,1889
2003M09,191718,1911
2003M10,193476,1897
2003M11,164239,1748
2003M12,164601,1713
2004M01,142050,1764
2004M02,170207,1718
2004M03,203795,2047
2004M04,217712,2112
2004M05,232811,2284
2004M06,205222,2237
2004M07,213030,2315
2004M08,222979,2199
2004M09,216354,2269
2004M10,227282,2378
2004M11,205326,2523
2004M12,209765,2339
2005M01,182306,2407
2005M02,209395,2406
2005M03,276393,2756
2005M04,291206,2725
2005M05,305990,2821
2005M06,273694,2762
2005M07,356131,2777
2005M08,377181,2669
2005M09,352124,2780
2005M10,346513,2894
2005M11,284331,2729
2005M12,292875,2681
2006M01,228499,2903
2006M02,244976,2761
2006M03,298525,3064
2006M04,318529,2947
2006M05,333949,3130
2006M06,300735,2943
2006M07,311347,2860
2006M08,320830,2806
2006M09,305475,2730
2006M10,319190,2871
2006M11,262784,2738
2006M12,268440,2695
2007M01,251607,2833
2007M02,286509,2711
2007M03,333904,3138
2007M04,357662,3225
2007M05,364476,3393
2007M06,346070,3341
2007M07,391606,3458
2007M08,414482,3381
2007M09,387850,3433
2007M10,376418,3511
2007M11,309215,3237
2007M12,317995,3380
2008M01,276006,3195
2008M02,302192,3082
2008M03,370566,3391
2008M04,360837,3279
2008M05,356326,3233
2008M06,332105,3196
2008M07,345561,3094
2008M08,353958,2864
2008M09,325328,3033
2008M10,308611,3152
2008M11,249412,2612
2008M12,255983,2581
2009M01,215784,2539
2009M02,244688,2489
2009M03,298016,2790
2009M04,326285,2794
2009M05,321670,2843
2009M06,307894,2761
2009M07,333016,2797
2009M08,330925,2572
2009M09,307262,2703
2009M10,309003,2792
2009M11,255015,2471
2009M12,258650,2476
2010M01,230793,2526
2010M02,255800,2510
2010M03,330117,2956
2010M04,321424,2871
2010M05,338362,2930
2010M06,313677,2858
2010M07,320492,2701
2010M08,330985,2470
2010M09,312470,2684
2010M10,331101,2868
2010M11,299515,2835
2010M12,279573,2603
2011M01,259680,2673
2011M02,285542,2709
2011M03,381520,3307
2011M04,397604,3132
2011M05,393383,3277
2011M06,365357,3157
2011M07,409989,3225
2011M08,408639,2902
2011M09,390305,3141
2011M10,374427,3114
2011M11,306045,2698
2011M12,309441,2642
2012M01,246595,2429
2012M02,271274,2402
2012M03,327215,2698
2012M04,359415,2704
2012M05,354546,2766
2012M06,335433,2615
2012M07,348697,2504
2012M08,336979,2316
2012M09,337050,2531
2012M10,312472,2403
2012M11,239227,1946
2012M12,237245,1859
2013M01,213293,1879
2013M02,221680,1778
2013M03,283200,2183
2013M04,303118,2264
2013M05,307975,2309
2013M06,282514,2127
2013M07,284798,2057
2013M08,275012,1836
2013M09,284328,2091
2013M10,286525,2148
2013M11,234163,1773
2013M12,232787,1762
2014M01,206734,1907
2014M02,211665,1745
2014M03,265002,2035
2014M04,316508,2415
2014M05,314922,2454
2014M06,301156,2345
2014M07,305836,2178
2014M08,299606,1996
2014M09,302547,2175
2014M10,309513,2282
2014M11,258019,1999
2014M12,251631,1926
2015M01,224010,1878
2015M02,238951,1826
2015M03,306286,2260
2015M04,349725,2584
2015M05,342467,2538
2015M06,322362,2406
2015M07,331816,2394
2015M08,338369,2269
2015M09,339382,2371
2015M10,340647,2451
2015M11,290441,2212
2015M12,287303,2126
2016M01,269329,2075
2016M02,288071,2055
2016M03,348752,2477
2016M04,378153,2634
2016M05,388539,2712
2016M06,367990,2585
2016M07,361708,2463
2016M08,366167,2424
2016M09,372535,2556
2016M10,379179,2533
2016M11,321074,2238
2016M12,310730,2154
2017M01,254746,1814
2017M02,256018,1758
2017M03,328033,2191
2017M04,343982,2345
2017M05,345523,2367
2017M06,325852,2250
2017M07,319053,2186
2017M08,310680,2075
2017M09,329603,2200
2017M10,345234,2359
2017M11,314750,2224
2017M12,305867,2206
2018M01,306126,2265
2018M02,312555,2175
2018M03,381397,2636
2018M04,402207,2777
2018M05,418199,2859
2018M06,393005,2741
2018M07,379002,2620
2018M08,371338,2512
2018M09,399276,2743
2018M10,418822,2882
2018M11,359775,2539
2018M12,350621,2525
