airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,3959720,37370,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEPA,1458015,13918,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
GCLP,1244800,8701,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEMG,1186324,12686,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
EGLL,1135087,10639,LHR,51.4706,-0.461941,London Heathrow Airport
LFPG,1131782,11480,CDG,49.012798,2.55,Charles de Gaulle International Airport
GCXO,805772,5218,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
LIRF,802522,6870,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
LEVC,801800,12113,VLC,39.4893,-0.481625,Valencia Airport
LPPT,798232,10656,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
LEBB,774126,9836,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
LEAL,720279,7800,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
EBBR,717349,7523,BRU,50.9014015198,4.48443984985,Brussels Airport
LEST,707078,8824,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
EDDF,687443,7139,FRA,50.033333,8.570556,Frankfurt am Main Airport
EHAM,682862,6388,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LFPO,643360,5569,ORY,48.7233333,2.3794444,Paris-Orly Airport
GCTS,574584,3765,TFS,28.044500351,-16.5725002289,Tenerife South Airport
LEVX,573549,6788,VGO,42.2318000793457,-8.62677001953125,Vigo Airport
LIMC,570078,6329,MXP,45.6306,8.728110000000001,Malpensa International Airport
LEZL,539536,6110,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
LEAS,539387,6241,OVD,43.5635986328125,-6.0346198081970215,Asturias Airport
LECO,485838,6352,LCG,43.302101,-8.37726,A Coruña Airport
SAEZ,469633,2388,EZE,-34.8222,-58.5358,Ministro Pistarini International Airport
MUHA,469480,1982,HAV,22.989200592041016,-82.40910339355469,José Martí International Airport
GCRR,433601,3269,ACE,28.945498999999998,-13.6052,Lanzarote Airport
LEIB,361523,4251,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
LSZH,324652,3608,ZRH,47.464698999999996,8.54917,Zürich Airport
MMMX,324573,1512,MEX,19.4363,-99.072098,Licenciado Benito Juarez International Airport
EDDM,321966,3363,MUC,48.353802,11.7861,Munich Airport
LEJR,311383,3720,XRY,36.74459838867188,-6.060110092163086,Jerez Airport
KMIA,309303,2167,MIA,25.79319953918457,-80.29060363769531,Miami International Airport
KJFK,307709,1465,JFK,40.63980103,-73.77890015,John F Kennedy International Airport
EGKK,289910,2939,LGW,51.148102,-0.190278,London Gatwick Airport
SBGR,263967,800,GRU,-23.435556411743164,-46.47305679321289,Guarulhos - Governador André Franco Montoro International Airport
LEPP,250515,3835,PNA,42.77000045776367,-1.6463299989700315,Pamplona Airport
SVMI,240238,1475,CCS,10.601194,-66.991222,Simón Bolívar International Airport
MDSD,214466,550,SDQ,18.42970085144,-69.668899536133,Las Américas International Airport
LEGR,211307,2709,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
LEXJ,202691,4433,SDR,43.427101135253906,-3.82000994682312,Santander Airport
EKCH,202472,2166,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
LESO,199722,3531,EAS,43.35649871826172,-1.7906099557876587,San Sebastian Airport
GCFV,197814,1620,FUE,28.452699661254886,-13.863800048828125,Fuerteventura Airport
LSGG,194412,3054,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
LPPR,189808,6059,OPO,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport
EGGW,179868,1485,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
MDPC,170518,708,PUJ,18.567399978599997,-68.36340332030001,Punta Cana International Airport
LEAM,165965,2853,LEI,36.84389877319336,-2.3701000213623047,Almería International Airport
ESSA,164649,1318,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
EDDL,163745,2509,DUS,51.289501,6.766780000000001,Düsseldorf Airport
MMUN,158104,450,CUN,21.036500930800003,-86.8770980835,Cancún International Airport
LEMH,146198,1813,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
LGAV,145788,1775,ATH,37.9364013672,23.944499969499997,Eleftherios Venizelos International Airport
KEWR,143535,703,EWR,40.69250106811523,-74.168701171875,Newark Liberty International Airport
SPIM,134984,686,LIM,-12.0219,-77.114305,Jorge Chávez International Airport
LFLL,126728,4187,LYS,45.725556,5.081111,Lyon Saint-Exupéry Airport
LIML,122924,1339,LIN,45.445099,9.27674,Milano Linate Airport
GMMN,120569,1404,CMN,33.36750030517578,-7.589970111846924,Mohammed V International Airport
EIDW,119917,1342,DUB,53.421299,-6.27007,Dublin Airport
LOWW,111995,1479,VIE,48.110298156738004,16.569700241089002,Vienna International Airport
SBGL,111137,1133,GIG,-22.809999465900002,-43.2505569458,Rio Galeão – Tom Jobim International Airport
LFMN,109652,4166,NCE,43.658401489300005,7.215869903560001,Nice-Côte d'Azur Airport
KORD,109305,725,ORD,41.9786,-87.9048,Chicago O'Hare International Airport
KATL,106722,720,ATL,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport
LEZG,99138,2691,ZAZ,41.66619873046875,-1.0415500402450562,Zaragoza Air Base
GCLA,98494,1014,SPC,28.626499,-17.7556,La Palma Airport
LKPR,98288,858,PRG,50.1008,14.26,Václav Havel Airport Prague
LLBG,92389,1164,TLV,32.011398315429695,34.88669967651367,Ben Gurion International Airport
LTBA,87885,1183,ISL,40.976898,28.8146,Atatürk International Airport
EGGP,87032,726,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
LIPZ,82186,829,VCE,45.505299,12.3519,Venice Marco Polo Airport
FAJS,79534,364,JNB,-26.1392,28.246,OR Tambo International Airport
KIAD,77988,512,IAD,38.94449997,-77.45580292,Washington Dulles International Airport
HECA,76682,901,CAI,30.12190055847168,31.40559959411621,Cairo International Airport
LFBO,76164,3110,TLS,43.629101,1.36382,Toulouse-Blagnac Airport
