airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,638233,6057,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEMD,452399,4144,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,326796,6464,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGCC,237174,1173,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGKK,229405,1272,LGW,51.148102,-0.190278,London Gatwick Airport
EDDL,154411,883,DUS,51.289501,6.766780000000001,Düsseldorf Airport
LIMC,142925,927,MXP,45.6306,8.728110000000001,Malpensa International Airport
EGSS,137192,1012,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGNX,100472,585,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGBB,92189,430,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LEVC,84864,2209,VLC,39.4893,-0.481625,Valencia Airport
EGNT,71608,338,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGPF,69797,311,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EDDF,68715,417,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDK,60846,524,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EGFF,59763,258,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
LIPX,56545,335,VRN,45.395699,10.8885,Verona Villafranca Airport
EDDM,50187,404,MUC,48.353802,11.7861,Munich Airport
EGGD,46236,239,BRS,51.382702,-2.71909,Bristol Airport
EDDS,45780,391,STR,48.6898994446,9.22196006775,Stuttgart Airport
LIRF,42835,334,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
LIME,41173,254,BGY,45.673901,9.70417,Il Caravaggio International Airport
EGNM,40934,199,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
