airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,811204,7690,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGKK,803230,5303,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,764332,4314,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
LEPA,392592,2872,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGBB,340914,2222,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LEBL,336470,3506,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGGW,274133,2048,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EGNX,272130,1913,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGPF,260196,1404,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EGSS,254700,1962,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EHAM,246856,1896,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGNT,214527,1359,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGGD,201328,1558,BRS,51.382702,-2.71909,Bristol Airport
EGNM,195425,1394,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
ENGM,193319,1401,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
EDDL,170732,1237,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EDDF,159371,846,FRA,50.033333,8.570556,Frankfurt am Main Airport
EGGP,153279,1041,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGFF,152908,966,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
EBBR,147492,930,BRU,50.9014015198,4.48443984985,Brussels Airport
EIDW,143337,951,DUB,53.421299,-6.27007,Dublin Airport
EGPH,110645,769,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EHRD,104591,841,RTM,51.956902,4.43722,Rotterdam The Hague Airport
EGAA,98522,726,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EGLL,97217,730,LHR,51.4706,-0.461941,London Heathrow Airport
LSGG,92167,735,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
ESSA,91675,584,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
EKCH,90581,716,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
EDLW,87844,690,DTM,51.518299102799986,7.61223983765,Dortmund Airport
