airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGSS,210879,1535,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEMD,165717,4042,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGKK,147464,1123,LGW,51.148102,-0.190278,London Gatwick Airport
LEBL,104135,2696,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGCC,86340,483,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGBB,78370,556,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EBBR,58772,271,BRU,50.9014015198,4.48443984985,Brussels Airport
LEPA,49487,327,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EDDL,31024,158,DUS,51.289501,6.766780000000001,Düsseldorf Airport
GEML,22293,708,MLN,35.279800415,-2.9562599658999997,Melilla Airport
