airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,1191002,7546,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
GCLP,722807,12449,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
GCLA,627387,12782,SPC,28.626499,-17.7556,La Palma Airport
LEBL,335232,2498,BCN,41.2971,2.0784599999999998,Barcelona International Airport
GCRR,302869,6559,ACE,28.945498999999998,-13.6052,Lanzarote Airport
GCFV,228041,5289,FUE,28.452699661254886,-13.863800048828125,Fuerteventura Airport
LEZL,199970,1380,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
GCHI,151631,3106,VDE,27.814800262451172,-17.887100219726562,Hierro Airport
EIDW,50706,325,DUB,53.421299,-6.27007,Dublin Airport
LEBB,49155,281,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
