airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,439082,4685,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,417107,3932,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGSS,128101,835,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEPA,122909,866,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGGP,61633,394,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGKK,52327,388,LGW,51.148102,-0.190278,London Gatwick Airport
LIME,47086,310,BGY,45.673901,9.70417,Il Caravaggio International Airport
EDFH,42900,314,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
EGNX,41875,269,EMA,52.8311004639,-1.32806003094,East Midlands Airport
GEML,23241,701,MLN,35.279800415,-2.9562599658999997,Melilla Airport
