airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,1548464,10754,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
GCXO,664217,14462,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
GCFV,532013,11516,FUE,28.452699661254886,-13.863800048828125,Fuerteventura Airport
GCRR,515422,10078,ACE,28.945498999999998,-13.6052,Lanzarote Airport
LEBL,281640,2081,BCN,41.2971,2.0784599999999998,Barcelona International Airport
ENGM,249320,1377,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
EHAM,230331,1559,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDL,230094,1064,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGKK,229952,1303,LGW,51.148102,-0.190278,London Gatwick Airport
ESSA,182504,763,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
EGCC,178742,913,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EFHK,170124,798,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
EDDF,157077,787,FRA,50.033333,8.570556,Frankfurt am Main Airport
LEZL,151780,1060,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EDDH,141267,743,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EKCH,130778,753,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
EIDW,130424,757,DUB,53.421299,-6.27007,Dublin Airport
GCLA,113137,2353,SPC,28.626499,-17.7556,La Palma Airport
EDDM,105872,620,MUC,48.353802,11.7861,Munich Airport
EGPF,102576,506,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EDDV,100225,601,HAJ,52.461101532,9.68507957458,Hannover Airport
EDDS,99784,580,STR,48.6898994446,9.22196006775,Stuttgart Airport
EBBR,91099,635,BRU,50.9014015198,4.48443984985,Brussels Airport
EDDN,86151,511,NUE,49.498699,11.078056,Nuremberg Airport
EDDK,84094,540,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
ESGG,83986,395,GOT,57.662799835205,12.279800415039,Gothenburg-Landvetter Airport
EKBI,82583,482,BLL,55.7402992249,9.15178012848,Billund Airport
