airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,2942406,30355,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,1513617,14068,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EHAM,1085371,8013,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LFPG,1053922,8541,CDG,49.012798,2.55,Charles de Gaulle International Airport
LEZL,848410,6922,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EGLL,725197,5603,LHR,51.4706,-0.461941,London Heathrow Airport
LEIB,709862,6362,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
LIRF,695163,5846,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
LEMH,664822,5859,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
LEMG,610909,5107,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
EDDF,594235,4368,FRA,50.033333,8.570556,Frankfurt am Main Airport
LFPO,590024,6017,ORY,48.7233333,2.3794444,Paris-Orly Airport
LEBB,559861,5319,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
LIMC,542848,5415,MXP,45.6306,8.728110000000001,Malpensa International Airport
EDDM,524226,4794,MUC,48.353802,11.7861,Munich Airport
LPPT,476679,5200,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
EGKK,465304,3590,LGW,51.148102,-0.190278,London Gatwick Airport
EBBR,459096,4160,BRU,50.9014015198,4.48443984985,Brussels Airport
LSGG,371839,2985,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
LSZH,364129,2252,ZRH,47.464698999999996,8.54917,Zürich Airport
LEGR,342462,2720,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
EKCH,341753,2827,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
GCXO,304756,2129,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
LEAL,300032,3170,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
GCLP,281640,2081,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEST,281412,2292,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LEAS,276373,2884,OVD,43.5635986328125,-6.0346198081970215,Asturias Airport
KJFK,264500,1382,JFK,40.63980103,-73.77890015,John F Kennedy International Airport
EDDL,260461,2972,DUS,51.289501,6.766780000000001,Düsseldorf Airport
LIPZ,250127,2210,VCE,45.505299,12.3519,Venice Marco Polo Airport
LKPR,246049,2206,PRG,50.1008,14.26,Václav Havel Airport Prague
LOWW,229679,2199,VIE,48.110298156738004,16.569700241089002,Vienna International Airport
LLBG,222771,1306,TLV,32.011398315429695,34.88669967651367,Ben Gurion International Airport
LECO,220032,1901,LCG,43.302101,-8.37726,A Coruña Airport
LEVX,216887,1864,VGO,42.2318000793457,-8.62677001953125,Vigo Airport
EDDB,186411,1331,SXF,52.380001,13.5225,Berlin-Schönefeld Airport
EIDW,183180,1310,DUB,53.421299,-6.27007,Dublin Airport
LTBA,174804,1471,ISL,40.976898,28.8146,Atatürk International Airport
LGAV,172585,1308,ATH,37.9364013672,23.944499969499997,Eleftherios Venizelos International Airport
GMMN,167408,1672,CMN,33.36750030517578,-7.589970111846924,Mohammed V International Airport
EGGW,166316,1328,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LFLL,165462,2069,LYS,45.725556,5.081111,Lyon Saint-Exupéry Airport
EGGP,160053,1229,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
ESSA,159684,1203,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
GCRR,158937,1164,ACE,28.945498999999998,-13.6052,Lanzarote Airport
EGSS,157426,1176,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LFSB,150969,1323,BSL,47.59,7.5291667,EuroAirport Basel-Mulhouse-Freiburg Airport
EFHK,149280,1082,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
UUDD,142862,764,DME,55.40879821777344,37.90629959106445,Domodedovo International Airport
LEJR,142413,1267,XRY,36.74459838867188,-6.060110092163086,Jerez Airport
EDDS,137085,2157,STR,48.6898994446,9.22196006775,Stuttgart Airport
EGGD,123950,925,BRS,51.382702,-2.71909,Bristol Airport
ENGM,120451,874,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
LIML,120209,1806,LIN,45.445099,9.27674,Milano Linate Airport
EGCC,119173,891,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
LROP,111671,1106,OTP,44.5711111,26.085,Henri Coandă International Airport
KATL,109712,568,ATL,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport
UUEE,108507,843,SVO,55.972599,37.4146,Sheremetyevo International Airport
LRBS,106089,776,BBU,44.50320053100586,26.10210037231445,Băneasa International Airport
KEWR,101368,703,EWR,40.69250106811523,-74.168701171875,Newark Liberty International Airport
EGNX,96870,716,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGAA,95793,754,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EDDT,94671,664,TXL,52.5597,13.2877,Berlin-Tegel Airport
DAAG,91828,1091,ALG,36.691001892089844,3.215409994125366,Houari Boumediene Airport
EDDK,90175,714,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
LEAM,89134,2048,LEI,36.84389877319336,-2.3701000213623047,Almería International Airport
EGNT,88139,660,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
GCTS,87647,670,TFS,28.044500351,-16.5725002289,Tenerife South Airport
LHBP,84192,654,BUD,47.429759999999995,19.261093,Budapest Liszt Ferenc International Airport
LIRN,84000,660,NAP,40.886002000000005,14.2908,Naples International Airport
EDDH,82243,577,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
SKBO,79408,526,BOG,4.70159,-74.1469,El Dorado International Airport
LPPR,77757,2458,OPO,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport
LEVD,76340,2638,VLL,41.7061004639,-4.85194015503,Valladolid Airport
LFMN,76014,2225,NCE,43.658401489300005,7.215869903560001,Nice-Côte d'Azur Airport
