airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGKK,168670,1150,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,139486,838,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGSS,137525,826,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGBB,126863,822,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGNX,107178,680,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGGW,105132,666,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EGNT,82028,596,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGGP,81810,545,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EIDW,80474,494,DUB,53.421299,-6.27007,Dublin Airport
EGNM,75936,490,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EGGD,75215,570,BRS,51.382702,-2.71909,Bristol Airport
LEMD,64030,1913,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGHH,54900,388,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
EGPK,50435,330,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
EGPH,43558,336,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
LEPA,38171,396,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGAA,36048,270,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EINN,29676,186,SNN,52.702,-8.92482,Shannon Airport
ENGM,23323,170,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
EGNH,23217,184,BLK,53.77170181274414,-3.0286099910736084,Blackpool International Airport
EGFF,22313,184,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
