airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEZL,159924,1309,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EIDW,137032,842,DUB,53.421299,-6.27007,Dublin Airport
EGSS,107776,698,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGGW,87270,567,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EGBB,86152,547,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LFOB,85515,652,BVA,49.45439910888672,2.1127800941467285,Paris Beauvais Tillé Airport
LEXJ,72976,649,SDR,43.427101135253906,-3.82000994682312,Santander Airport
EGGP,72414,496,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
LEST,72194,589,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LEPA,72122,676,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGCC,64480,272,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGPF,54363,243,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EGKK,52666,279,LGW,51.148102,-0.190278,London Gatwick Airport
EDFH,49191,325,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
EBCI,48906,311,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EGNT,40768,195,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EHEH,40046,260,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
EGGD,39682,252,BRS,51.382702,-2.71909,Bristol Airport
EGNX,34015,202,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGHH,27282,214,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
EGPK,26699,182,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
EGAA,24935,153,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EDJA,22152,162,FMM,47.9888000488,10.2395000458,Memmingen Allgau Airport
EDLV,21474,140,NRN,51.6024017334,6.14216995239,Weeze Airport
