airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,1026231,13577,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,477815,7000,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LEZL,225683,3968,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
LFPG,197984,1477,CDG,49.012798,2.55,Charles de Gaulle International Airport
EGSS,148087,905,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LIRF,141341,1056,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
EHAM,138221,1103,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LEIB,135376,3111,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
EGKK,129446,890,LGW,51.148102,-0.190278,London Gatwick Airport
LFPO,128470,870,ORY,48.7233333,2.3794444,Paris-Orly Airport
LIME,124368,814,BGY,45.673901,9.70417,Il Caravaggio International Airport
LIRA,114807,734,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
EDDM,97027,959,MUC,48.353802,11.7861,Munich Airport
LRBS,91347,689,BBU,44.50320053100586,26.10210037231445,Băneasa International Airport
LSZH,90311,690,ZRH,47.464698999999996,8.54917,Zürich Airport
EBBR,85055,697,BRU,50.9014015198,4.48443984985,Brussels Airport
LIRP,80359,513,PSA,43.683899,10.3927,Pisa International Airport
LEBB,78612,2557,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EDFH,73156,466,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
LEBL,72540,2537,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LIMC,60840,536,MXP,45.6306,8.728110000000001,Malpensa International Airport
EBCI,59259,376,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
LIPE,58905,454,BLQ,44.5354,11.2887,Bologna Guglielmo Marconi Airport
GCTS,52100,357,TFS,28.044500351,-16.5725002289,Tenerife South Airport
EGGD,49783,373,BRS,51.382702,-2.71909,Bristol Airport
LEMG,49515,1732,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LEMH,44867,920,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
EGNX,41148,276,EMA,52.8311004639,-1.32806003094,East Midlands Airport
LRCL,40764,260,CLJ,46.78519821166992,23.686199188232425,Cluj-Napoca International Airport
