airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
GCLP,523971,10951,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEMD,366430,2695,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EDDL,233623,1115,DUS,51.289501,6.766780000000001,Düsseldorf Airport
GCXO,176309,3760,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EGCC,155008,781,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EDDF,145029,730,FRA,50.033333,8.570556,Frankfurt am Main Airport
EGKK,122852,604,LGW,51.148102,-0.190278,London Gatwick Airport
EDDH,119612,682,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EDDS,96709,516,STR,48.6898994446,9.22196006775,Stuttgart Airport
EDDV,96498,583,HAJ,52.461101532,9.68507957458,Hannover Airport
EDDK,89900,565,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EDDM,88962,496,MUC,48.353802,11.7861,Munich Airport
EHAM,80565,557,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDN,76966,436,NUE,49.498699,11.078056,Nuremberg Airport
EGBB,76956,397,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGSS,73901,482,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EIDW,72042,461,DUB,53.421299,-6.27007,Dublin Airport
EGNX,70125,415,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGGP,69347,451,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
LFPG,66722,413,CDG,49.012798,2.55,Charles de Gaulle International Airport
EDDT,58863,354,TXL,52.5597,13.2877,Berlin-Tegel Airport
EDLP,49966,313,PAD,51.614101409899995,8.616319656369999,Paderborn Lippstadt Airport
EDDP,47418,300,LEJ,51.423889,12.236388999999999,Leipzig/Halle Airport
EGPF,46521,217,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
LSZH,44615,322,ZRH,47.464698999999996,8.54917,Zürich Airport
EGGD,42216,228,BRS,51.382702,-2.71909,Bristol Airport
