airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,298278,2080,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LIME,227007,1769,BGY,45.673901,9.70417,Il Caravaggio International Airport
LIRA,217996,1593,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
EGSS,192207,1213,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EBCI,190571,1279,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
LFOB,178064,1209,BVA,49.45439910888672,2.1127800941467285,Paris Beauvais Tillé Airport
EDFH,163216,1109,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
LEZL,150904,1062,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EDLV,126659,834,NRN,51.6024017334,6.14216995239,Weeze Airport
EGKK,125086,767,LGW,51.148102,-0.190278,London Gatwick Airport
LIRP,112087,805,PSA,43.683899,10.3927,Pisa International Airport
EHEH,107807,730,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
LIPE,103618,705,BLQ,44.5354,11.2887,Bologna Guglielmo Marconi Airport
EGPK,102477,678,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
ESKN,91811,585,NYO,58.78860092163086,16.912200927734375,Stockholm Skavsta Airport
LPPR,91375,598,OPO,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport
EGGP,89566,581,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EIDW,89496,589,DUB,53.421299,-6.27007,Dublin Airport
EDSB,89040,586,FKB,48.7793998718,8.08049964905,Karlsruhe Baden-Baden Airport
LIPH,85723,649,TSF,45.648399,12.1944,Treviso-Sant'Angelo Airport
EDDW,85312,564,BRE,53.0475006104,8.78666973114,Bremen Airport
LEMG,80135,607,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
EGGD,75213,540,BRS,51.382702,-2.71909,Bristol Airport
LEPA,73223,609,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGBB,70034,456,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LIEE,69425,547,CAG,39.251499,9.05428,Cagliari Elmas Airport
EHAM,66111,550,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LIEA,65567,535,AHO,40.632099,8.29077,Alghero-Fertilia Airport
EGNX,64299,443,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EDJA,59093,419,FMM,47.9888000488,10.2395000458,Memmingen Allgau Airport
LEIB,56553,445,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
EGGW,55906,387,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EGHH,50759,347,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
GMFF,48874,314,FEZ,33.927299499499995,-4.977960109709999,Saïss Airport
LEGR,48452,388,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
GMMX,47388,312,RAK,31.6068992615,-8.036299705510002,Menara Airport
EGPH,46596,322,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EGNM,46098,311,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EPPO,42233,298,POZ,52.4210014343,16.8262996674,Poznań-Ławica Airport
