airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,371226,6533,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGSS,90703,589,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEBL,86017,2011,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LIRA,62590,421,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
LIME,48497,358,BGY,45.673901,9.70417,Il Caravaggio International Airport
LEAL,44203,316,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
LERS,37445,301,REU,41.14739990234375,1.1671700477600098,Reus Air Base
EBCI,29942,211,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
LEMG,28178,254,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
EDLV,26124,193,NRN,51.6024017334,6.14216995239,Weeze Airport
EDFH,24445,172,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
