airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LIME,92176,702,BGY,45.673901,9.70417,Il Caravaggio International Airport
EGSS,63177,400,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EBCI,52452,363,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
LEAL,48016,415,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
LEPA,42595,317,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LIRA,40863,303,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
GCTS,34451,230,TFS,28.044500351,-16.5725002289,Tenerife South Airport
LFOB,24842,190,BVA,49.45439910888672,2.1127800941467285,Paris Beauvais Tillé Airport
LEMG,23738,185,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LEMD,21880,960,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
