airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,823344,6720,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,453230,3275,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEPA,134053,948,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LEMG,119322,808,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LEZL,117546,885,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
GCTS,116428,731,TFS,28.044500351,-16.5725002289,Tenerife South Airport
LEAL,92419,562,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
LEVC,82271,634,VLC,39.4893,-0.481625,Valencia Airport
GCLP,80519,589,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
GCRR,65938,393,ACE,28.945498999999998,-13.6052,Lanzarote Airport
EGSS,52197,323,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEBB,40124,1427,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
LERS,39413,341,REU,41.14739990234375,1.1671700477600098,Reus Air Base
EDFH,36301,246,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
LIME,34144,240,BGY,45.673901,9.70417,Il Caravaggio International Airport
LFPG,30963,269,CDG,49.012798,2.55,Charles de Gaulle International Airport
LSZH,27407,246,ZRH,47.464698999999996,8.54917,Zürich Airport
LSGG,21775,157,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
