airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,802752,5571,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LFPO,279984,1906,ORY,48.7233333,2.3794444,Paris-Orly Airport
LEMD,238933,2602,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,198940,1292,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
GCLP,178126,1199,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
GCXO,156601,1004,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
LEBB,153042,1052,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
LEVC,151100,2250,VLC,39.4893,-0.481625,Valencia Airport
LIME,110534,670,BGY,45.673901,9.70417,Il Caravaggio International Airport
LIRA,104978,614,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
EGSS,99368,582,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EBCI,98758,594,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EGKK,97380,641,LGW,51.148102,-0.190278,London Gatwick Airport
EHAM,70612,500,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LEST,69914,529,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LECO,69801,579,LCG,43.302101,-8.37726,A Coruña Airport
LFOB,65819,420,BVA,49.45439910888672,2.1127800941467285,Paris Beauvais Tillé Airport
LIPE,65766,384,BLQ,44.5354,11.2887,Bologna Guglielmo Marconi Airport
LEXJ,55232,440,SDR,43.427101135253906,-3.82000994682312,Santander Airport
LFBO,50882,811,TLS,43.629101,1.36382,Toulouse-Blagnac Airport
GCRR,48086,289,ACE,28.945498999999998,-13.6052,Lanzarote Airport
LFML,42785,278,MRS,43.439271921999996,5.22142410278,Marseille Provence Airport
