airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGCC,751618,3890,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGKK,734025,4347,LGW,51.148102,-0.190278,London Gatwick Airport
EGNX,285825,1645,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGBB,279013,1531,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGPF,249202,1245,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EDDL,234667,1180,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EBBR,220671,1338,BRU,50.9014015198,4.48443984985,Brussels Airport
LEMD,206107,1360,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EHAM,189436,1360,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGNT,185431,947,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGSS,173690,1024,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGNM,167128,953,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EGGD,164982,961,BRS,51.382702,-2.71909,Bristol Airport
EDDF,163177,802,FRA,50.033333,8.570556,Frankfurt am Main Airport
EFHK,154749,842,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
EGGW,151382,920,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EDDH,149728,883,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EDDM,149370,868,MUC,48.353802,11.7861,Munich Airport
EDDK,140637,977,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EIDW,138902,879,DUB,53.421299,-6.27007,Dublin Airport
EBCI,134561,834,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EGPH,132154,762,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
UUDD,109275,558,DME,55.40879821777344,37.90629959106445,Domodedovo International Airport
ESSA,107074,464,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
LEBL,103935,679,BCN,41.2971,2.0784599999999998,Barcelona International Airport
ENGM,103355,514,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
EDDB,97866,613,SXF,52.380001,13.5225,Berlin-Schönefeld Airport
EDDS,96013,569,STR,48.6898994446,9.22196006775,Stuttgart Airport
EKCH,94245,545,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
EDDT,91016,486,TXL,52.5597,13.2877,Berlin-Tegel Airport
LEST,88216,552,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
UUEE,83739,360,SVO,55.972599,37.4146,Sheremetyevo International Airport
EKBI,83664,503,BLL,55.7402992249,9.15178012848,Billund Airport
LSZH,82919,605,ZRH,47.464698999999996,8.54917,Zürich Airport
EGAA,78666,452,BFS,54.6575012207,-6.21582984924,Belfast International Airport
ESGG,77154,360,GOT,57.662799835205,12.279800415039,Gothenburg-Landvetter Airport
