airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,669398,6667,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,493372,3504,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EDDM,222363,2060,MUC,48.353802,11.7861,Munich Airport
EDDF,221673,1785,FRA,50.033333,8.570556,Frankfurt am Main Airport
LEPA,196369,1417,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LFPG,181545,2199,CDG,49.012798,2.55,Charles de Gaulle International Airport
LEMG,174372,1150,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LEZL,158014,1045,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EGLL,157585,1277,LHR,51.4706,-0.461941,London Heathrow Airport
EBBR,156483,1540,BRU,50.9014015198,4.48443984985,Brussels Airport
EHAM,148860,1434,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGSS,139977,997,STN,51.8849983215,0.23499999940400002,London Stansted Airport
GCXO,128256,803,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
GCRR,105881,722,ACE,28.945498999999998,-13.6052,Lanzarote Airport
LEAL,102773,1101,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
GCLP,95414,654,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEIB,78960,530,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
LEVC,67042,1394,VLC,39.4893,-0.481625,Valencia Airport
LEMH,65363,509,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
LTBA,55397,680,ISL,40.976898,28.8146,Atatürk International Airport
EGKK,52592,377,LGW,51.148102,-0.190278,London Gatwick Airport
EDDL,49388,661,DUS,51.289501,6.766780000000001,Düsseldorf Airport
LPPT,47964,1194,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
LEST,46052,1302,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LIRF,40561,350,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
EGCC,40542,276,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
