airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,719785,6513,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGKK,275444,1588,LGW,51.148102,-0.190278,London Gatwick Airport
LEMD,260892,2414,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,254006,6259,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGCC,189805,958,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGGW,90230,605,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LIMC,81172,555,MXP,45.6306,8.728110000000001,Malpensa International Airport
EGNX,77752,464,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGBB,69703,381,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LEBB,63157,464,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EGGD,58100,319,BRS,51.382702,-2.71909,Bristol Airport
LEVC,53556,676,VLC,39.4893,-0.481625,Valencia Airport
EGNM,51597,339,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EGNT,43650,265,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
