airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,1944728,13970,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEMD,1815589,12630,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EDDL,1276418,7267,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EDDH,995501,5911,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EDDF,928287,5095,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDK,917973,5945,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EGKK,859151,4868,LGW,51.148102,-0.190278,London Gatwick Airport
EDDM,770456,4667,MUC,48.353802,11.7861,Munich Airport
EGCC,760521,3966,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EDDS,677973,4462,STR,48.6898994446,9.22196006775,Stuttgart Airport
EDDV,554567,3382,HAJ,52.461101532,9.68507957458,Hannover Airport
LSZH,540924,3666,ZRH,47.464698999999996,8.54917,Zürich Airport
EDDT,477921,3172,TXL,52.5597,13.2877,Berlin-Tegel Airport
LEIB,468968,8614,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
EGSS,450513,2788,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEVC,425650,4510,VLC,39.4893,-0.481625,Valencia Airport
EGBB,412658,2355,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EKCH,399498,2422,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
ESSA,386842,2015,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
LFSB,368564,2329,BSL,47.59,7.5291667,EuroAirport Basel-Mulhouse-Freiburg Airport
EGNX,355716,2065,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EDDB,350493,2078,SXF,52.380001,13.5225,Berlin-Schönefeld Airport
EGGD,340780,1991,BRS,51.382702,-2.71909,Bristol Airport
EGNT,330542,1998,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EHAM,325340,1985,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LEMH,305806,6237,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
EDDN,300783,1965,NUE,49.498699,11.078056,Nuremberg Airport
EGGW,292653,1923,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LOWW,279112,1751,VIE,48.110298156738004,16.569700241089002,Vienna International Airport
EDDP,277504,1763,LEJ,51.423889,12.236388999999999,Leipzig/Halle Airport
EGNM,268996,1583,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
LEZL,267316,1657,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EDLP,255035,1515,PAD,51.614101409899995,8.616319656369999,Paderborn Lippstadt Airport
EDDW,244474,1572,BRE,53.0475006104,8.78666973114,Bremen Airport
EDSB,244051,1511,FKB,48.7793998718,8.08049964905,Karlsruhe Baden-Baden Airport
LEAL,241368,2754,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
EGPF,233220,1350,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EGGP,221307,1433,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EBBR,218413,1396,BRU,50.9014015198,4.48443984985,Brussels Airport
LFPO,217868,1476,ORY,48.7233333,2.3794444,Paris-Orly Airport
ENGM,215388,1151,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
EDDG,211797,1410,FMO,52.134601593,7.68483018875,Münster Osnabrück Airport
EGPH,205696,1292,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
LEMG,201783,1337,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LSGG,188518,1333,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
EDLW,184885,1261,DTM,51.518299102799986,7.61223983765,Dortmund Airport
EGAA,184123,1140,BFS,54.6575012207,-6.21582984924,Belfast International Airport
LEBB,182443,1317,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
ESGG,159403,810,GOT,57.662799835205,12.279800415039,Gothenburg-Landvetter Airport
EIDW,158748,969,DUB,53.421299,-6.27007,Dublin Airport
LEST,154758,1173,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
EKBI,153157,944,BLL,55.7402992249,9.15178012848,Billund Airport
EDLV,152779,899,NRN,51.6024017334,6.14216995239,Weeze Airport
LEGR,140294,1156,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
EDDR,138279,957,SCN,49.2145996094,7.10950994492,Saarbrücken Airport
EDFH,135716,807,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
EHEH,134376,804,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
LIMC,114755,751,MXP,45.6306,8.728110000000001,Malpensa International Airport
EFHK,112057,614,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
EGFF,111586,705,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
UUDD,109850,671,DME,55.40879821777344,37.90629959106445,Domodedovo International Airport
EGHH,104141,639,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
EDDC,100639,793,DRS,51.1328010559082,13.767200469970705,Dresden Airport
ELLX,99569,704,LUX,49.6233333,6.204444400000001,Luxembourg-Findel International Airport
EGMC,91424,593,SEN,51.5713996887207,0.6955559849739075,Southend Airport
LKPR,90350,691,PRG,50.1008,14.26,Václav Havel Airport Prague
LOWS,88670,592,SZG,47.793300628699996,13.0043001175,Salzburg Airport
LFRS,87813,693,NTE,47.15319824220001,-1.61073005199,Nantes Atlantique Airport
LEAS,83021,832,OVD,43.5635986328125,-6.0346198081970215,Asturias Airport
EGLL,82450,534,LHR,51.4706,-0.461941,London Heathrow Airport
