airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
GCXO,728096,14780,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
GCLP,151030,2563,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEMD,131026,835,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EHAM,45850,371,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDL,40596,280,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGKK,39745,245,LGW,51.148102,-0.190278,London Gatwick Airport
EDDF,38298,204,FRA,50.033333,8.570556,Frankfurt am Main Airport
LEBL,25258,168,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EDDS,24991,155,STR,48.6898994446,9.22196006775,Stuttgart Airport
EGCC,23988,145,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
